algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,100,19.22,16.552285488922628,21.88771451107737,3.8984465497884075,3.58305072799023,4.213842371586585
RC,2,0.1,100,100,11.18,9.393340894018586,12.966659105981414,2.8685037161660363,2.6446379701105904,3.092369462221482
RC,2,0.1,150,100,8.54,7.051023779345007,10.028976220654991,2.3658958918127153,2.1527672292029725,2.579024554422458
RC,2,0.1,200,100,6.68,5.670258416354279,7.689741583645721,1.9920230800602565,1.8129043609884241,2.171141799132089
RC,2,0.1,250,100,5.01,4.553072734505845,5.466927265494155,1.643685612301565,1.510919987816149,1.7764512367869811
RC,2,0.1,300,100,5.29,4.6777441093482635,5.902255890651737,1.785430156120766,1.6416567030231033,1.9292036092184286
RC,2,0.1,350,100,4.51,4.2358482826320145,4.784151717367985,1.4991235676195034,1.3878451333038475,1.6104020019351593
RC,2,0.1,400,100,4.5,4.056315601431918,4.943684398568082,1.4155181762884723,1.2981812105700525,1.532855142006892
RC,2,0.1,450,100,4.24,4.101491888517454,4.378508111482547,1.25471933854432,1.1485232809730588,1.3609153961155813
RC,2,0.1,500,100,4.28,4.06506860377085,4.49493139622915,1.2586396473792734,1.1552173399494923,1.3620619548090545
HF,2,0.1,50,100,4.0,4.0,4.0,0.59820982359509,0.59820982359509,0.59820982359509
HF,2,0.1,100,100,4.0,4.0,4.0,0.4229982228364965,0.4229982228364965,0.4229982228364965
HF,2,0.1,150,100,4.0,4.0,4.0,0.3453766026845038,0.3453766026845038,0.3453766026845038
HF,2,0.1,200,100,4.0,4.0,4.0,0.299104911797545,0.299104911797545,0.299104911797545
HF,2,0.1,250,100,4.0,4.0,4.0,0.26752756607335565,0.26752756607335565,0.26752756607335565
HF,2,0.1,300,100,4.0,4.0,4.0,0.24421813782138455,0.24421813782138455,0.24421813782138455
HF,2,0.1,350,100,4.0,4.0,4.0,0.2261020607240609,0.22610206072406086,0.22610206072406092
HF,2,0.1,400,100,4.0,4.0,4.0,0.21149911141824826,0.21149911141824826,0.21149911141824826
HF,2,0.1,450,100,4.0,4.0,4.0,0.19940327453169668,0.19940327453169668,0.19940327453169668
HF,2,0.1,500,100,4.0,4.0,4.0,0.18917055612480194,0.1891705561248019,0.18917055612480196
