algo,noise,num_samples,strategy,count
RC,2,50,"(0, 1)",100
RC,2,50,"(1, 0)",31
RC,2,50,"(0, 0)",3
RC,2,100,"(0, 1)",100
RC,2,100,"(1, 0)",12
HF,2,50,"(0, 1)",1
HF,2,100,"(0, 1)",1
