noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
2,0.1,50,200,17.15,16.284920512195797,18.0150794878042,4.915117997531475,4.66998924079401,5.16024675426894
2,0.1,100,200,10.94,10.394710970764816,11.485289029235183,3.2251687352018545,3.083163167407098,3.3671743029966112
2,0.1,150,200,9.795,9.33405936396677,10.25594063603323,2.861498514324503,2.728065005853403,2.994932022795603
2,0.1,200,200,8.495,8.104092966791802,8.885907033208197,2.451246842492132,2.3305552228408497,2.571938462143414
2,0.1,250,200,7.49,7.192152509438936,7.787847490561065,2.141497433377999,2.0416778752552576,2.2413169915007405
2,0.1,300,200,6.965,6.716751773180389,7.21324822681961,1.9355656912716173,1.8484242299312599,2.0227071526119746
2,0.1,350,200,6.59,6.355176470290353,6.824823529709647,1.8009391501831147,1.7187577385093906,1.8831205618568387
2,0.1,400,200,6.47,6.221149353282395,6.718850646717605,1.7658891149946994,1.681156547533521,1.8506216824558777
2,0.1,450,200,6.235,6.03486460716475,6.43513539283525,1.6513018689535799,1.575889848778727,1.7267138891284328
2,0.1,500,200,6.025,5.824153116374665,6.225846883625335,1.560984504406081,1.4863404634255994,1.6356285453865627
5,0.1,50,200,20.62,19.918329602720746,21.321670397279256,5.85817181246262,5.631562542823758,6.0847810821014825
5,0.1,100,200,14.225,13.62546668642833,14.824533313571669,4.1525231587172104,4.003334965617187,4.301711351817234
5,0.1,150,200,11.54,11.0315778517669,12.048422148233099,3.4070265009176683,3.2773656547690133,3.5366873470663234
5,0.1,200,200,9.74,9.349532485815493,10.130467514184508,2.903582449376861,2.7936113664313256,3.0135535323223968
5,0.1,250,200,8.7,8.413860500286258,8.98613949971374,2.548457885268745,2.460771294952655,2.636144475584835
5,0.1,300,200,8.25,7.96981250740481,8.530187492595191,2.374329489655054,2.2789889116537068,2.4696700676564016
5,0.1,350,200,7.905,7.673779218689769,8.13622078131023,2.2512117159307907,2.1700204366444966,2.332402995217085
5,0.1,400,200,7.34,7.083596107387853,7.596403892612146,2.060685442536231,1.9747532877640859,2.146617597308376
5,0.1,450,200,7.065,6.8614279736433,7.268572026356701,1.9740225550042194,1.9055319323703817,2.042513177638057
5,0.1,500,200,6.675,6.474884135664957,6.875115864335043,1.8575536888129756,1.7910654087320368,1.9240419688939143
10,0.1,50,200,26.43,25.956055837094475,26.903944162905525,7.614403074326382,7.412615000790486,7.816191147862278
10,0.1,100,200,19.27,18.73318565266965,19.80681434733035,5.3861679054543075,5.251715055278422,5.520620755630193
10,0.1,150,200,15.27,14.71988200265476,15.820117997345239,4.406880778725527,4.281037074290005,4.532724483161049
10,0.1,200,200,13.245,12.789346447664037,13.700653552335961,3.897573652117097,3.789121845894166,4.006025458340028
10,0.1,250,200,10.98,10.642776858695903,11.317223141304098,3.3135945840931167,3.2284521413117533,3.39873702687448
10,0.1,300,200,10.495,10.136967959084641,10.853032040915357,3.1276660581414313,3.0310247066410314,3.224307409641831
10,0.1,350,200,9.775,9.477662216952748,10.072337783047253,2.946142230523341,2.862160862031625,3.030123599015057
10,0.1,400,200,8.98,8.724160689501023,9.235839310498978,2.68750478546321,2.61504178835984,2.7599677825665805
10,0.1,450,200,8.535,8.302817788805958,8.767182211194042,2.5192181909107014,2.4503582949765845,2.5880780868448183
10,0.1,500,200,8.155,7.972150981296649,8.337849018703348,2.3910346852223783,2.32950779906172,2.4525615713830367
