algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,2,15.5,-105.2089449961049,136.2089449961049,1.3584910295613712,-14.90545103307171,17.622433092194452
RC,2,0.1,100,2,12.0,-64.23722841859257,88.23722841859257,1.014324049204245,-5.592902413740445,7.621550512148934
RC,2,0.1,150,2,12.0,-64.23722841859257,88.23722841859257,0.9995730754682693,-7.471230082153127,9.470376233089667
RC,2,0.1,200,2,6.0,6.0,6.0,0.2592455147806856,0.005121420052043468,0.5133696095093276
RC,2,0.1,250,2,6.0,6.0,6.0,0.8644273072245939,-0.1520690716899732,1.8809236861391612
RC,2,0.1,300,2,15.5,-105.2089449961049,136.2089449961049,1.223962187480487,-12.329322864713749,14.777247239674722
RC,2,0.1,350,2,6.0,6.0,6.0,0.2896555718558306,-0.14598573339326976,0.7252968771049308
RC,2,0.1,400,2,12.0,-64.23722841859257,88.23722841859257,0.7971620246021225,-6.445374675164173,8.039698724368417
RC,2,0.1,450,2,12.0,-64.23722841859257,88.23722841859257,0.6839414542982349,-4.059708313969747,5.4275912225662175
RC,2,0.1,500,2,12.0,-64.23722841859257,88.23722841859257,1.0083996983067185,-3.5658340068088346,5.582633403422271
RC,5,0.1,50,2,18.0,18.0,18.0,1.438491029561371,-3.6439908650114674,6.52097292413421
RC,5,0.1,100,2,12.0,-64.23722841859257,88.23722841859257,0.7743240492042449,-3.7999096559113097,5.3485577543198
RC,5,0.1,150,2,15.5,-105.2089449961049,136.2089449961049,1.2929064088016027,-10.227385885563498,12.813198703166703
RC,5,0.1,200,2,12.0,-64.23722841859257,88.23722841859257,1.4192455147806855,-4.933856853435361,7.7723478829967325
RC,5,0.1,250,2,6.0,6.0,6.0,0.7044273072245939,-0.3120690716899739,1.7209236861391617
RC,5,0.1,300,2,12.0,-64.23722841859257,88.23722841859257,0.6639621874804869,-4.757351833397207,6.085276208358181
RC,5,0.1,350,2,6.0,6.0,6.0,0.5067984289986878,0.5067984289986878,0.5067984289986878
RC,5,0.1,400,2,6.0,6.0,6.0,0.29716202460212243,-1.8628927805913336,2.4572168297955783
RC,5,0.1,450,2,6.0,6.0,6.0,0.7461636765204571,-0.9479969550038219,2.440324308044736
RC,5,0.1,500,2,6.0,6.0,6.0,0.06439969830671839,-0.4438484911505653,0.5726478877640021
RC,10,0.1,50,2,25.0,25.0,25.0,2.6384910295613713,2.6384910295613713,2.6384910295613713
RC,10,0.1,100,2,24.5,-58.09033078680861,107.09033078680861,2.3343240492042447,-12.913121634514269,17.58176973292276
RC,10,0.1,150,2,6.0,6.0,6.0,0.306239742134936,-2.0655851419990547,2.6780646262689265
RC,10,0.1,200,2,12.0,-64.23722841859257,88.23722841859257,0.7992455147806855,-3.2667400008775838,4.865231030438955
RC,10,0.1,250,2,12.0,-64.23722841859257,88.23722841859257,1.264427307224594,-6.867543724091947,9.396398338541134
RC,10,0.1,300,2,6.0,6.0,6.0,0.34396218748048685,-0.672534191434081,1.3604585663950546
RC,10,0.1,350,2,6.0,6.0,6.0,0.3125127147129735,0.1672989462966067,0.4577264831293403
RC,10,0.1,400,2,12.0,-64.23722841859257,88.23722841859257,1.2671620246021225,-2.544699396327505,5.07902344553175
RC,10,0.1,450,2,6.0,6.0,6.0,0.21283034318712374,-0.3518898673209692,0.7775505536952168
RC,10,0.1,500,2,6.0,6.0,6.0,0.2163996983067184,-0.5967974048249358,1.0295968014383725
HF,2,0.1,50,2,6.0,6.0,6.0,0.5681868033943702,0.5681868033943702,0.5681868033943702
HF,2,0.1,100,2,6.0,6.0,6.0,0.40176874166086685,0.40176874166086685,0.40176874166086685
HF,2,0.1,150,2,6.0,6.0,6.0,0.3280428038897326,0.3280428038897326,0.3280428038897326
HF,2,0.1,200,2,6.0,6.0,6.0,0.2840934016971851,0.2840934016971851,0.2840934016971851
HF,2,0.1,250,2,6.0,6.0,6.0,0.254100863261624,0.254100863261624,0.254100863261624
HF,2,0.1,300,2,6.0,6.0,6.0,0.2319612911498787,0.2319612911498787,0.2319612911498787
HF,2,0.1,350,2,6.0,6.0,6.0,0.21475442571575057,0.21475442571575057,0.21475442571575057
HF,2,0.1,400,2,6.0,6.0,6.0,0.20088437083043342,0.20088437083043342,0.20088437083043342
HF,2,0.1,450,2,6.0,6.0,6.0,0.18939560113145673,0.18939560113145673,0.18939560113145673
HF,2,0.1,500,2,6.0,6.0,6.0,0.17967644351765,0.17967644351765,0.17967644351765
HF,5,0.1,50,2,6.0,6.0,6.0,0.5681868033943702,0.5681868033943702,0.5681868033943702
HF,5,0.1,100,2,6.0,6.0,6.0,0.40176874166086685,0.40176874166086685,0.40176874166086685
HF,5,0.1,150,2,6.0,6.0,6.0,0.3280428038897326,0.3280428038897326,0.3280428038897326
HF,5,0.1,200,2,6.0,6.0,6.0,0.2840934016971851,0.2840934016971851,0.2840934016971851
HF,5,0.1,250,2,6.0,6.0,6.0,0.254100863261624,0.254100863261624,0.254100863261624
HF,5,0.1,300,2,6.0,6.0,6.0,0.2319612911498787,0.2319612911498787,0.2319612911498787
HF,5,0.1,350,2,6.0,6.0,6.0,0.21475442571575057,0.21475442571575057,0.21475442571575057
