algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,100,351.59,327.71376244474965,375.4662375552503,0.8501427751065148,0.7784496900467341,0.9218358601662955
RC,2,0.1,100,100,212.9,182.8972449624502,242.9027550375498,0.5955739755089541,0.5454995266713658,0.6456484243465423
HF,2,0.1,50,100,297.0,297.0,297.0,0.6762035633129929,0.6762035633129929,0.6762035633129929
HF,2,0.1,100,100,123.0,123.0,123.0,0.4781481250811242,0.4781481250811242,0.4781481250811242
