noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
2,0.1,50,200,9.37,8.948935477475434,9.791064522524564,4.435680057068397,4.229458212282597,4.6419019018541965
2,0.1,100,200,6.515,6.0907759242517905,6.939224075748209,3.170452440566962,3.0291518778895528,3.3117530032443714
2,0.1,150,200,5.25,4.945739612876936,5.554260387123064,2.5475497559548472,2.441146225071053,2.6539532868386413
2,0.1,200,200,4.805,4.545092434426955,5.064907565573044,2.201002771779366,2.0921618287357346,2.3098437148229976
2,0.1,250,200,4.27,4.122916408015237,4.417083591984762,1.9810500447675528,1.8993158571739763,2.062784232361129
2,0.1,300,200,4.17,4.044883620733318,4.295116379266682,1.766356114249105,1.6868854162651128,1.8458268122330974
2,0.1,350,200,4.15,4.024384836628128,4.275615163371873,1.7660489233111156,1.6839684305754377,1.8481294160467936
2,0.1,400,200,4.09,4.018461710600551,4.161538289399449,1.5770981009201848,1.502523745562283,1.6516724562780865
2,0.1,450,200,4.035,3.99969826620652,4.07030173379348,1.5065353866403302,1.4381931249453015,1.5748776483353588
2,0.1,500,200,4.0,4.0,4.0,1.3925248005294,1.3300083466011838,1.4550412544576161
5,0.1,50,200,11.225,11.032093421681465,11.417906578318535,5.174814123091174,5.015954329850008,5.33367391633234
5,0.1,100,200,8.01,7.628710934285496,8.391289065714503,3.6753776284616126,3.5457465763155525,3.805008680607673
5,0.1,150,200,6.32,5.929652611188027,6.710347388811973,3.1233162118546405,2.9998378984308802,3.2467945252784007
5,0.1,200,200,5.465,5.128671138777211,5.801328861222789,2.7201848852756463,2.6128781299629145,2.827491640588378
5,0.1,250,200,4.73,4.49206816989752,4.967931830102481,2.382823401004929,2.297429109286757,2.4682176927231008
5,0.1,300,200,4.43,4.243756032801013,4.6162439671989866,2.1890037434611584,2.106593857363865,2.271413629558452
5,0.1,350,200,4.3,4.138788275946272,4.461211724053728,2.0322286886674137,1.9544082800693139,2.1100490972655135
5,0.1,400,200,4.19,4.066234062964869,4.313765937035132,1.8661233552651233,1.7946661461641207,1.937580564366126
5,0.1,450,200,4.055,4.008223110693012,4.101776889306987,1.7918562844441783,1.7274373649927035,1.8562752038956531
5,0.1,500,200,4.02,3.9921824808959836,4.047817519104016,1.6607586605581943,1.5985137865041381,1.7230035346122505
10,0.1,50,200,13.035,12.798853960333602,13.271146039666398,6.83748477136967,6.649357736561317,7.0256118061780235
10,0.1,100,200,10.805,10.628347470398598,10.981652529601401,4.840872104680338,4.705673143429285,4.976071065931391
10,0.1,150,200,9.08,8.795792832526226,9.364207167473774,3.9877851191842115,3.87451627941632,4.101053958952103
10,0.1,200,200,7.735,7.401120263459865,8.068879736540136,3.4912614091408414,3.3979253760169024,3.5845974422647804
10,0.1,250,200,6.465,6.122624965951534,6.807375034048466,3.0877312027845436,3.004157922660094,3.1713044829089934
10,0.1,300,200,5.425,5.119238071989741,5.730761928010259,2.8381505204800885,2.757605318520125,2.9186957224400523
10,0.1,350,200,5.0,4.73848005021064,5.26151994978936,2.6340343499478838,2.5574899329321115,2.710578766963656
10,0.1,400,200,4.65,4.4399683803116785,4.860031619688322,2.4537840054829045,2.379933797902985,2.527634213062824
10,0.1,450,200,4.26,4.134782144413148,4.385217855586852,2.2828135000849428,2.2213606797344405,2.344266320435445
10,0.1,500,200,4.255,4.138046811465469,4.371953188534531,2.218776276933874,2.1568841655584103,2.280668388309338
