num_samples,strategy,count
300,"(0, 0, 1, 0, 0)",24
300,"(1, 1, 0, 0, 0)",36
300,"(1, 1, 1, 0, 1)",36
300,"(0, 0, 0, 0, 0)",8
300,"(1, 0, 0, 0, 1)",11
300,"(0, 0, 0, 1, 1)",6
300,"(0, 0, 1, 0, 1)",1
300,"(1, 0, 1, 1, 1)",10
300,"(0, 1, 1, 0, 0)",4
300,"(1, 1, 1, 0, 0)",8
300,"(1, 0, 1, 0, 1)",1
300,"(0, 0, 1, 1, 0)",1
350,"(1, 0, 0, 0, 0)",181
350,"(1, 0, 0, 1, 0)",200
350,"(1, 0, 0, 1, 1)",200
350,"(0, 0, 1, 1, 1)",132
350,"(0, 1, 0, 0, 0)",200
350,"(0, 1, 0, 0, 1)",49
350,"(1, 1, 0, 0, 1)",200
350,"(0, 1, 0, 1, 0)",200
350,"(1, 1, 0, 1, 0)",200
350,"(0, 1, 0, 1, 1)",200
350,"(0, 1, 1, 1, 0)",113
350,"(1, 1, 1, 0, 1)",22
350,"(0, 0, 1, 0, 0)",15
350,"(1, 1, 0, 0, 0)",22
350,"(1, 0, 0, 0, 1)",8
350,"(1, 0, 1, 1, 1)",7
350,"(0, 0, 0, 0, 0)",3
350,"(1, 1, 1, 0, 0)",3
400,"(1, 0, 0, 0, 0)",160
400,"(1, 0, 0, 1, 0)",200
400,"(1, 0, 0, 1, 1)",200
400,"(0, 0, 1, 1, 1)",91
400,"(0, 1, 0, 0, 0)",200
400,"(1, 1, 0, 0, 1)",200
400,"(0, 1, 0, 1, 0)",200
400,"(1, 1, 0, 1, 0)",200
400,"(0, 1, 0, 1, 1)",200
400,"(0, 1, 1, 1, 0)",76
400,"(1, 1, 0, 0, 0)",13
400,"(0, 1, 0, 0, 1)",34
400,"(1, 1, 1, 0, 1)",11
400,"(0, 0, 1, 0, 0)",5
400,"(0, 0, 0, 0, 0)",1
400,"(1, 0, 0, 0, 1)",1
400,"(0, 0, 0, 1, 1)",1
400,"(1, 0, 1, 1, 1)",1
400,"(0, 1, 1, 0, 0)",1
400,"(1, 1, 1, 0, 0)",1
450,"(1, 0, 0, 0, 0)",143
450,"(1, 0, 0, 1, 0)",200
450,"(1, 0, 0, 1, 1)",200
450,"(0, 1, 0, 0, 0)",200
450,"(1, 1, 0, 0, 1)",198
450,"(0, 1, 0, 1, 0)",199
450,"(1, 1, 0, 1, 0)",200
450,"(0, 1, 0, 1, 1)",200
450,"(0, 0, 0, 0, 0)",1
450,"(1, 0, 0, 0, 1)",1
450,"(0, 0, 1, 0, 0)",5
450,"(0, 0, 1, 1, 1)",69
450,"(1, 0, 1, 1, 1)",1
450,"(1, 1, 0, 0, 0)",8
450,"(0, 1, 0, 0, 1)",19
450,"(1, 1, 1, 0, 0)",1
450,"(1, 1, 1, 0, 1)",7
450,"(0, 1, 1, 1, 0)",55
500,"(1, 0, 0, 0, 0)",120
500,"(1, 0, 0, 1, 0)",200
500,"(1, 0, 0, 1, 1)",200
500,"(0, 1, 0, 0, 0)",200
500,"(1, 1, 0, 0, 1)",198
500,"(0, 1, 0, 1, 0)",199
500,"(1, 1, 0, 1, 0)",200
500,"(0, 1, 0, 1, 1)",200
500,"(0, 0, 1, 1, 1)",58
500,"(1, 1, 0, 0, 0)",2
500,"(0, 1, 0, 0, 1)",10
500,"(1, 1, 1, 0, 1)",2
500,"(0, 1, 1, 1, 0)",42
