algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,100,70.86,50.6440684975037,91.0759315024963,2.9827790964527203,2.602284737937761,3.3632734549676795
RC,2,0.1,100,100,32.03,22.31675108485853,41.74324891514147,2.2050430535703005,1.9293583784279078,2.480727728712693
HF,2,0.1,50,100,2.0,2.0,2.0,0.6762035633129929,0.6762035633129929,0.6762035633129929
HF,2,0.1,100,100,1.0,1.0,1.0,0.4781481250811242,0.4781481250811242,0.4781481250811242
