algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,100,1024.0,1024.0,1024.0,1.17764141421177,1.1260810211402676,1.2292018072832722
RC,2,0.1,100,100,841.06,812.3622024177579,869.757797582242,0.8934674745164339,0.8474941296057286,0.9394408194271393
HF,2,0.1,50,100,644.0,644.0,644.0,0.6994223093996214,0.6994223093996214,0.6994223093996214
HF,2,0.1,100,100,268.0,268.0,268.0,0.49456625788962777,0.49456625788962777,0.49456625788962777
