algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,100,1.34,1.2336502791486847,1.4463497208513154,2.437342445914732,2.1475698065016093,2.7271150853278545
RC,2,0.1,100,100,1.12,1.055195745730973,1.1848042542690271,1.806979117149304,1.5734262362705027,2.040531998028105
HF,2,0.1,50,100,1.0,,,0.45056292857863156,,
HF,2,0.1,100,100,1.0,,,0.31859610214922046,,
