 num_nash_upper,algo,delta,eps_lower,eps_mean,eps_upper,noise,num_nash_lower,num_nash_mean,num_nash_upper,num_samples,num_trials
55.971716577512325,RC,0.1,-3.6204872439260347,2.478491029561371,8.577469303048776,2,-32.971716577512325,11.5,,50,2
85.23722841859257,RC,0.1,-14.889618013428835,1.374324049204245,17.638266111837325,2,-67.23722841859257,9.0,,100,2
37.26551184108024,RC,0.1,-5.750402783962182,1.026239742134936,7.802882268232054,2,-26.26551184108024,5.5,,150,2
85.23722841859257,RC,0.1,-9.862214653279558,1.3192455147806856,12.50070568284093,2,-67.23722841859257,9.0,,200,2
3.0,RC,0.1,-0.8833683474728872,0.3364273072245939,1.5562229619220749,2,3.0,3.0,,250,2
37.26551184108024,RC,0.1,-5.56051487897844,0.8772955208138202,7.315105920606081,2,-26.26551184108024,5.5,,300,2
37.26551184108024,RC,0.1,-5.657393612905084,0.5867984289986877,6.83099047090246,2,-26.26551184108024,5.5,,350,2
37.26551184108024,RC,0.1,-4.549443964699357,0.7871620246021225,6.123768013903602,2,-26.26551184108024,5.5,,400,2
3.0,RC,0.1,-1.3134957479753442,0.7194970098537905,2.752489767682925,2,3.0,3.0,,450,2
3.0,RC,0.1,-1.0010455942822194,0.32039969830671844,1.6418449908956565,2,3.0,3.0,,500,2
3.0,RC,0.1,-0.37800534935319596,0.6384910295613712,1.6549874084759382,5,3.0,3.0,,50,2
85.23722841859257,RC,0.1,-12.628377066142413,1.0943240492042448,14.817025164550902,5,-67.23722841859257,9.0,,100,2
55.41240947286419,RC,0.1,-11.184368987164808,5.07957307546827,21.343515138101345,5,4.587590527135809,30.0,,150,2
8.0,RC,0.1,1.7192455147806855,1.7192455147806855,1.7192455147806855,5,8.0,8.0,,200,2
3.0,RC,0.1,-2.221762553736195,0.6244273072245939,3.4706171681853832,5,3.0,3.0,,250,2
85.23722841859257,RC,0.1,-16.75297263298173,1.543962187480487,19.840897007942708,5,-67.23722841859257,9.0,,300,2
20.55930710464814,RC,0.1,-0.8216270386423701,0.04965557185583058,0.9209381823540312,5,-17.55930710464814,1.5,,350,2
37.26551184108024,RC,0.1,-5.525940343613925,0.8271620246021225,7.18026439281817,5,-26.26551184108024,5.5,,400,2
54.82481894572838,RC,0.1,-10.039465169920582,0.5772747876315681,11.194014745183718,5,-46.82481894572838,4.0,,450,2
3.0,RC,0.1,-1.1450455942822195,0.1763996983067184,1.4978449908956564,5,3.0,3.0,,500,2
3.0,RC,0.1,-0.37800534935319596,0.6384910295613712,1.6549874084759382,10,3.0,3.0,,50,2
