noise,num_samples,strategy,count
10,250,"(1, 1, 1, 0)",2
10,250,"(1, 0, 1, 0)",1
10,250,"(0, 0, 1, 1)",1
10,300,"(1, 0, 0, 1)",2
10,300,"(0, 0, 1, 0)",2
10,300,"(1, 0, 1, 1)",2
10,300,"(1, 1, 1, 0)",2
10,350,"(1, 0, 0, 1)",2
10,350,"(0, 0, 1, 0)",2
10,350,"(1, 0, 1, 1)",2
10,350,"(1, 1, 1, 0)",2
10,400,"(1, 0, 0, 1)",2
10,400,"(0, 0, 1, 0)",2
10,400,"(1, 0, 1, 1)",2
10,400,"(1, 1, 1, 0)",2
10,450,"(0, 0, 1, 0)",2
10,450,"(1, 0, 1, 1)",2
10,450,"(1, 1, 1, 0)",2
10,450,"(1, 0, 0, 1)",1
10,500,"(1, 0, 0, 1)",2
10,500,"(0, 0, 1, 0)",2
10,500,"(1, 0, 1, 1)",2
10,500,"(1, 1, 1, 0)",2
