noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
2,0.1,50,200,18.93,17.46859311893226,20.391406881067738,4.064666562469264,3.7043413481606935,4.424991776777834
2,0.1,100,200,13.625,11.989331364041576,15.260668635958424,2.85216418213216,2.6243270775548546,3.0800012867094657
2,0.1,150,200,11.81,10.207158512866375,13.412841487133626,2.4781402712288663,2.2609238214790337,2.695356720978699
2,0.1,200,200,9.675,8.262104910770285,11.087895089229717,2.0961692168749453,1.9246303576147543,2.2677080761351363
2,0.1,250,200,7.845,6.451169989883985,9.238830010116015,1.8555283596336665,1.6746133006068216,2.0364434186605114
2,0.1,300,200,7.12,5.80572536573277,8.43427463426723,1.6941744296036583,1.5378397294449717,1.8505091297623448
2,0.1,350,200,5.795,4.736728066789432,6.853271933210568,1.6044214314642813,1.468137365221023,1.7407054977075396
2,0.1,400,200,4.69,3.6867922926124352,5.6932077073875655,1.4079647821180987,1.278177504506408,1.5377520597297893
2,0.1,450,200,4.525,3.632110826362636,5.417889173637365,1.372173114542222,1.2584997429172304,1.4858464861672136
2,0.1,500,200,4.91,3.9113997485546803,5.90860025144532,1.3943277526899243,1.26887057243489,1.5197849329449584
5,0.1,50,200,26.105,24.928833105739983,27.281166894260018,5.09569077619493,4.754585068931594,5.436796483458266
5,0.1,100,200,17.715,16.14063516313722,19.28936483686278,3.4426682469131653,3.1859521031760996,3.699384390650231
5,0.1,150,200,15.8,14.19907308531966,17.40092691468034,3.0576269721506417,2.8423112551319045,3.272942689169379
5,0.1,200,200,12.945,11.419564614592758,14.470435385407242,2.604874990218651,2.4263278598503932,2.783422120586909
5,0.1,250,200,9.495,8.124860960621234,10.865139039378764,2.155518793214134,1.9969711394530707,2.3140664469751977
5,0.1,300,200,9.155,7.866132417150187,10.443867582849812,2.0434592772447946,1.9014505511651119,2.1854680033244773
5,0.1,350,200,7.605,6.445523940223564,8.764476059776438,1.9098236852785047,1.7773981502203597,2.0422492203366494
5,0.1,400,200,7.245,6.161979204057188,8.328020795942813,1.8377593682137234,1.7096686864134936,1.9658500500139533
5,0.1,450,200,6.34,5.294346191497975,7.385653808502025,1.696826743290909,1.5759807261014385,1.8176727604803795
5,0.1,500,200,5.595,4.663953560891041,6.526046439108958,1.6077072471200002,1.4946427467518268,1.7207717474881736
10,0.1,50,200,30.58,30.064418021500423,31.095581978499574,6.766193349243183,6.449584802298697,7.08280189618767
10,0.1,100,200,26.66,25.63044807035209,27.68955192964791,4.709426046164772,4.470649067227399,4.948203025102146
10,0.1,150,200,23.865,22.724831502517098,25.0051684974829,3.9862668404488115,3.7946912449441794,4.177842435953443
10,0.1,200,200,20.61,19.225687183498074,21.994312816501925,3.597101464669238,3.4065744132112106,3.7876285161272656
10,0.1,250,200,17.86,16.461415507504576,19.258584492495423,3.1661050259486685,3.002451617953671,3.329758433943666
10,0.1,300,200,15.39,14.005263772429823,16.77473622757018,2.8718789483031912,2.722957865600286,3.0208000310060963
10,0.1,350,200,13.45,12.137868863514253,14.762131136485745,2.65084041395059,2.514963645337316,2.786717182563864
10,0.1,400,200,11.58,10.316994398854868,12.843005601145132,2.418324170456117,2.29163145816386,2.545016882748374
10,0.1,450,200,11.585,10.34070534565175,12.829294654348251,2.41575794357924,2.2842122340277715,2.547303653130708
10,0.1,500,200,10.375,9.157762785259372,11.592237214740628,2.293271710275135,2.1691334246701275,2.4174099958801425
