algo,noise,num_samples,strategy,count
RC,2,50,"(0, 0)",17
RC,2,50,"(1, 0)",89
RC,2,50,"(1, 1)",15
RC,2,50,"(0, 1)",8
RC,2,100,"(1, 0)",73
RC,2,100,"(0, 0)",4
RC,2,100,"(1, 1)",4
RC,2,100,"(0, 1)",1
