noise,delta,num_samples,num_trials,eps_mean,eps_lower,eps_upper
2,0.1,50,200,3.215538125017255,3.156673727800189,3.2744025222343205
2,0.1,100,200,2.262462104751859,2.217914459911012,2.307009749592706
2,0.1,150,200,1.8385262669079538,1.8041733826615332,1.8728791511543745
2,0.1,200,200,1.5745632263841736,1.5478345368556479,1.6012919159126993
2,0.1,250,200,1.4164004253080555,1.3928198924530812,1.4399809581630298
2,0.1,300,200,1.3148033383163729,1.289719491319269,1.3398871853134766
2,0.1,350,200,1.1869747834699336,1.1704018790226882,1.203547687917179
2,0.1,400,200,1.1395765949448582,1.118613291792507,1.1605398980972095
2,0.1,450,200,1.0726184798042522,1.0511011394403447,1.0941358201681597
2,0.1,500,200,1.0067462511182046,0.9901996519853054,1.0232928502511038
5,0.1,50,200,4.4217375325387325,4.348726669551442,4.494748395526023
5,0.1,100,200,3.0984960031967885,3.0458527349063482,3.151139271487229
5,0.1,150,200,2.512488417957939,2.477630080684181,2.5473467552316973
5,0.1,200,200,2.205984192611025,2.1695817438294505,2.2423866413925992
5,0.1,250,200,1.973653525469625,1.944690808451615,2.002616242487635
5,0.1,300,200,1.7938363108462907,1.7671208345987266,1.8205517870938548
5,0.1,350,200,1.6787939674551922,1.6509877801360477,1.7066001547743366
5,0.1,400,200,1.5273662681038962,1.5069892099714983,1.547743326236294
5,0.1,450,200,1.4633727029621428,1.442855926328573,1.4838894795957127
5,0.1,500,200,1.3826862635451636,1.3614100279356014,1.4039624991547257
10,0.1,50,200,6.463572754955425,6.356031309532874,6.571114200377977
10,0.1,100,200,4.528872660613312,4.455436243540991,4.602309077685634
10,0.1,150,200,3.7672536791116427,3.7074183006429413,3.827089057580344
10,0.1,200,200,3.2400711875904467,3.193581734244985,3.2865606409359085
10,0.1,250,200,2.897673730810001,2.850934692076484,2.944412769543518
10,0.1,300,200,2.672522449091494,2.6305089089214473,2.714535989261541
10,0.1,350,200,2.5034177488609455,2.4609541574072225,2.5458813403146685
10,0.1,400,200,2.302103511971524,2.2651820664813442,2.339024957461704
10,0.1,450,200,2.1909199381585966,2.153898116969816,2.2279417593473774
10,0.1,500,200,2.0797242554896163,2.047343442972369,2.1121050680068634
