noise,num_samples,strategy,count
2,250,"(0, 1, 1, 1, 1)",63
2,250,"(1, 0, 0, 0, 0)",35
2,250,"(1, 0, 0, 0, 1)",34
2,250,"(0, 0, 0, 1, 1)",32
2,250,"(1, 0, 1, 0, 0)",31
2,250,"(1, 0, 1, 0, 1)",32
2,250,"(1, 0, 1, 1, 0)",32
2,250,"(0, 1, 0, 0, 0)",33
2,250,"(1, 1, 0, 0, 0)",33
2,250,"(0, 1, 0, 0, 1)",33
2,250,"(1, 1, 0, 1, 0)",32
2,250,"(0, 1, 1, 0, 0)",31
2,250,"(0, 1, 1, 0, 1)",32
2,250,"(1, 1, 1, 0, 1)",33
2,250,"(0, 1, 1, 1, 0)",31
2,250,"(1, 1, 1, 1, 1)",32
2,250,"(0, 0, 0, 0, 0)",18
2,250,"(0, 0, 0, 0, 1)",17
2,250,"(0, 0, 1, 0, 0)",18
2,250,"(0, 0, 1, 0, 1)",18
2,250,"(1, 1, 1, 0, 0)",17
2,250,"(1, 1, 1, 1, 0)",18
2,300,"(1, 0, 0, 1, 1)",123
2,300,"(0, 1, 0, 1, 1)",123
2,300,"(1, 1, 0, 1, 1)",200
2,300,"(0, 0, 0, 0, 0)",12
2,300,"(1, 0, 0, 0, 0)",29
2,300,"(0, 0, 0, 0, 1)",12
2,300,"(1, 0, 0, 0, 1)",29
2,300,"(0, 0, 0, 1, 0)",58
2,300,"(1, 0, 0, 1, 0)",60
2,300,"(0, 0, 0, 1, 1)",29
2,300,"(0, 0, 1, 0, 0)",12
2,300,"(1, 0, 1, 0, 0)",29
2,300,"(0, 0, 1, 0, 1)",12
2,300,"(1, 0, 1, 0, 1)",29
2,300,"(0, 0, 1, 1, 0)",57
2,300,"(1, 0, 1, 1, 0)",29
2,300,"(0, 0, 1, 1, 1)",56
2,300,"(1, 0, 1, 1, 1)",60
2,300,"(0, 1, 0, 0, 0)",29
2,300,"(1, 1, 0, 0, 0)",29
2,300,"(0, 1, 0, 0, 1)",29
2,300,"(1, 1, 0, 0, 1)",60
2,300,"(0, 1, 0, 1, 0)",60
2,300,"(1, 1, 0, 1, 0)",30
2,300,"(0, 1, 1, 0, 0)",29
2,300,"(1, 1, 1, 0, 0)",12
2,300,"(0, 1, 1, 0, 1)",30
2,300,"(1, 1, 1, 0, 1)",28
2,300,"(0, 1, 1, 1, 0)",28
2,300,"(1, 1, 1, 1, 0)",12
2,300,"(0, 1, 1, 1, 1)",61
2,300,"(1, 1, 1, 1, 1)",28
2,350,"(0, 1, 0, 1, 1)",123
2,350,"(1, 1, 0, 1, 1)",200
2,350,"(1, 0, 0, 1, 1)",121
2,350,"(1, 0, 0, 0, 0)",14
2,350,"(1, 0, 0, 0, 1)",14
2,350,"(0, 0, 0, 1, 0)",55
2,350,"(1, 0, 0, 1, 0)",56
2,350,"(0, 0, 0, 1, 1)",14
2,350,"(1, 0, 1, 0, 0)",13
2,350,"(1, 0, 1, 0, 1)",14
2,350,"(0, 0, 1, 1, 0)",53
2,350,"(1, 0, 1, 1, 0)",14
2,350,"(0, 0, 1, 1, 1)",55
2,350,"(1, 0, 1, 1, 1)",59
2,350,"(0, 1, 0, 0, 0)",15
2,350,"(1, 1, 0, 0, 0)",15
2,350,"(0, 1, 0, 0, 1)",15
2,350,"(1, 1, 0, 0, 1)",55
2,350,"(0, 1, 0, 1, 0)",58
2,350,"(1, 1, 0, 1, 0)",15
2,350,"(0, 1, 1, 0, 0)",14
2,350,"(0, 1, 1, 0, 1)",15
2,350,"(1, 1, 1, 0, 1)",15
2,350,"(0, 1, 1, 1, 0)",14
2,350,"(0, 1, 1, 1, 1)",58
2,350,"(1, 1, 1, 1, 1)",14
2,350,"(0, 0, 0, 0, 0)",9
2,350,"(0, 0, 0, 0, 1)",9
2,350,"(0, 0, 1, 0, 0)",9
2,350,"(0, 0, 1, 0, 1)",8
2,350,"(1, 1, 1, 0, 0)",8
2,350,"(1, 1, 1, 1, 0)",8
2,400,"(1, 1, 0, 1, 1)",200
2,400,"(1, 0, 0, 1, 1)",98
2,400,"(0, 1, 0, 1, 1)",95
2,400,"(0, 0, 0, 1, 0)",37
2,400,"(1, 0, 0, 1, 0)",37
2,400,"(0, 0, 1, 1, 0)",38
2,400,"(0, 0, 1, 1, 1)",38
2,400,"(1, 0, 1, 1, 1)",39
2,400,"(1, 1, 0, 0, 1)",39
2,400,"(0, 1, 0, 1, 0)",39
2,400,"(0, 1, 1, 1, 1)",38
2,400,"(1, 0, 0, 0, 0)",15
2,400,"(1, 0, 0, 0, 1)",14
2,400,"(0, 0, 0, 1, 1)",13
2,400,"(1, 0, 1, 0, 0)",13
2,400,"(1, 0, 1, 0, 1)",13
2,400,"(1, 0, 1, 1, 0)",13
2,400,"(0, 1, 0, 0, 0)",15
2,400,"(1, 1, 0, 0, 0)",14
2,400,"(0, 1, 0, 0, 1)",14
2,400,"(1, 1, 0, 1, 0)",14
2,400,"(0, 1, 1, 0, 0)",13
2,400,"(0, 1, 1, 0, 1)",13
2,400,"(1, 1, 1, 0, 1)",14
2,400,"(0, 1, 1, 1, 0)",13
2,400,"(1, 1, 1, 1, 1)",14
2,400,"(0, 0, 0, 0, 0)",6
2,400,"(0, 0, 0, 0, 1)",5
2,400,"(0, 0, 1, 0, 0)",6
2,400,"(0, 0, 1, 0, 1)",6
2,400,"(1, 1, 1, 0, 0)",6
2,400,"(1, 1, 1, 1, 0)",6
2,450,"(1, 0, 0, 1, 1)",105
2,450,"(0, 1, 0, 1, 1)",107
2,450,"(1, 1, 0, 1, 1)",200
2,450,"(0, 0, 0, 1, 0)",39
2,450,"(0, 1, 1, 1, 1)",40
2,450,"(1, 0, 0, 1, 0)",41
2,450,"(0, 0, 1, 1, 0)",37
2,450,"(0, 0, 1, 1, 1)",38
2,450,"(1, 0, 1, 1, 1)",40
2,450,"(1, 1, 0, 0, 1)",39
2,450,"(0, 1, 0, 1, 0)",38
2,450,"(1, 0, 0, 0, 0)",12
2,450,"(1, 0, 0, 0, 1)",12
2,450,"(0, 0, 0, 1, 1)",11
2,450,"(1, 0, 1, 0, 0)",11
2,450,"(1, 0, 1, 0, 1)",11
2,450,"(1, 0, 1, 1, 0)",11
2,450,"(0, 1, 0, 0, 0)",11
2,450,"(1, 1, 0, 0, 0)",11
2,450,"(0, 1, 0, 0, 1)",11
2,450,"(1, 1, 0, 1, 0)",12
2,450,"(0, 1, 1, 0, 0)",11
2,450,"(0, 1, 1, 0, 1)",12
2,450,"(1, 1, 1, 0, 1)",11
2,450,"(0, 1, 1, 1, 0)",11
2,450,"(1, 1, 1, 1, 1)",11
2,450,"(0, 0, 0, 0, 0)",2
2,450,"(0, 0, 0, 0, 1)",2
2,450,"(0, 0, 1, 0, 0)",2
2,450,"(0, 0, 1, 0, 1)",2
2,450,"(1, 1, 1, 0, 0)",2
2,450,"(1, 1, 1, 1, 0)",2
2,500,"(1, 0, 0, 1, 1)",108
2,500,"(0, 1, 0, 1, 1)",105
2,500,"(1, 1, 0, 1, 1)",200
2,500,"(0, 0, 0, 0, 0)",5
2,500,"(1, 0, 0, 0, 0)",14
2,500,"(0, 0, 0, 0, 1)",5
2,500,"(1, 0, 0, 0, 1)",15
2,500,"(0, 0, 0, 1, 0)",41
2,500,"(1, 0, 0, 1, 0)",41
2,500,"(0, 0, 0, 1, 1)",14
2,500,"(0, 0, 1, 0, 0)",5
2,500,"(1, 0, 1, 0, 0)",14
2,500,"(0, 0, 1, 0, 1)",5
2,500,"(1, 0, 1, 0, 1)",15
2,500,"(0, 0, 1, 1, 0)",41
2,500,"(1, 0, 1, 1, 0)",13
2,500,"(0, 0, 1, 1, 1)",42
