noise,num_samples,strategy,count
5,450,"(0, 1, 1, 0, 1)",18
5,450,"(0, 0, 0, 0, 1)",3
5,450,"(1, 1, 1, 1, 0)",4
5,500,"(0, 0, 0, 1, 0)",49
5,500,"(1, 0, 0, 1, 0)",50
5,500,"(1, 0, 0, 1, 1)",147
5,500,"(0, 0, 1, 1, 0)",47
5,500,"(0, 0, 1, 1, 1)",49
5,500,"(1, 0, 1, 1, 1)",51
5,500,"(1, 1, 0, 0, 1)",50
5,500,"(0, 1, 0, 1, 0)",53
5,500,"(0, 1, 0, 1, 1)",147
5,500,"(1, 1, 0, 1, 1)",200
5,500,"(0, 1, 1, 1, 1)",54
5,500,"(1, 0, 0, 0, 0)",15
5,500,"(1, 0, 0, 0, 1)",15
5,500,"(0, 0, 0, 1, 1)",13
5,500,"(1, 0, 1, 0, 0)",13
5,500,"(1, 0, 1, 0, 1)",14
5,500,"(1, 0, 1, 1, 0)",13
5,500,"(0, 1, 0, 0, 0)",15
5,500,"(1, 1, 0, 0, 0)",14
5,500,"(0, 1, 0, 0, 1)",15
5,500,"(1, 1, 0, 1, 0)",13
5,500,"(0, 1, 1, 0, 0)",14
5,500,"(0, 1, 1, 0, 1)",14
5,500,"(1, 1, 1, 0, 1)",14
5,500,"(0, 1, 1, 1, 0)",14
5,500,"(1, 1, 1, 1, 1)",14
5,500,"(0, 0, 0, 0, 0)",2
5,500,"(0, 0, 0, 0, 1)",2
5,500,"(0, 0, 1, 0, 1)",3
5,500,"(1, 1, 1, 0, 0)",1
5,500,"(1, 1, 1, 1, 0)",3
5,500,"(0, 0, 1, 0, 0)",1
10,50,"(0, 0, 0, 1, 0)",199
10,50,"(1, 0, 0, 1, 0)",199
10,50,"(1, 0, 0, 1, 1)",200
10,50,"(0, 0, 1, 1, 0)",200
10,50,"(0, 0, 1, 1, 1)",199
10,50,"(1, 0, 1, 1, 1)",199
10,50,"(1, 1, 0, 0, 1)",200
10,50,"(0, 1, 0, 1, 0)",200
10,50,"(0, 1, 0, 1, 1)",200
10,50,"(1, 1, 0, 1, 1)",200
10,50,"(0, 1, 1, 1, 1)",200
10,50,"(0, 0, 0, 0, 0)",172
10,50,"(1, 0, 0, 0, 0)",196
10,50,"(0, 0, 0, 0, 1)",167
10,50,"(1, 0, 0, 0, 1)",195
10,50,"(0, 0, 0, 1, 1)",192
10,50,"(0, 0, 1, 0, 0)",175
10,50,"(1, 0, 1, 0, 0)",189
10,50,"(0, 0, 1, 0, 1)",174
10,50,"(1, 0, 1, 0, 1)",194
10,50,"(1, 0, 1, 1, 0)",193
10,50,"(0, 1, 0, 0, 0)",192
10,50,"(1, 1, 0, 0, 0)",193
10,50,"(0, 1, 0, 0, 1)",191
10,50,"(1, 1, 0, 1, 0)",194
10,50,"(0, 1, 1, 0, 0)",190
10,50,"(1, 1, 1, 0, 0)",169
10,50,"(0, 1, 1, 0, 1)",194
10,50,"(1, 1, 1, 0, 1)",192
10,50,"(0, 1, 1, 1, 0)",190
10,50,"(1, 1, 1, 1, 0)",172
10,50,"(1, 1, 1, 1, 1)",196
10,100,"(0, 0, 0, 1, 0)",191
10,100,"(1, 0, 0, 1, 0)",194
10,100,"(1, 0, 0, 1, 1)",200
10,100,"(1, 0, 1, 0, 1)",171
10,100,"(0, 0, 1, 1, 0)",193
10,100,"(0, 0, 1, 1, 1)",193
10,100,"(1, 0, 1, 1, 1)",193
10,100,"(1, 1, 0, 0, 1)",194
10,100,"(0, 1, 0, 1, 0)",196
10,100,"(0, 1, 0, 1, 1)",200
10,100,"(1, 1, 0, 1, 1)",200
10,100,"(0, 1, 1, 0, 1)",167
10,100,"(0, 1, 1, 1, 1)",196
10,100,"(1, 0, 0, 0, 0)",161
10,100,"(1, 0, 0, 0, 1)",164
10,100,"(1, 0, 1, 1, 0)",161
10,100,"(0, 1, 0, 0, 0)",174
10,100,"(1, 1, 0, 0, 0)",174
10,100,"(0, 1, 0, 0, 1)",174
10,100,"(1, 1, 0, 1, 0)",169
10,100,"(0, 1, 1, 0, 0)",160
10,100,"(1, 1, 1, 0, 1)",173
10,100,"(0, 1, 1, 1, 0)",165
10,100,"(0, 0, 0, 0, 0)",119
10,100,"(0, 0, 0, 1, 1)",157
10,100,"(0, 0, 1, 0, 0)",124
10,100,"(1, 0, 1, 0, 0)",151
10,100,"(1, 1, 1, 1, 1)",173
10,100,"(0, 0, 0, 0, 1)",106
10,100,"(0, 0, 1, 0, 1)",121
10,100,"(1, 1, 1, 0, 0)",107
10,100,"(1, 1, 1, 1, 0)",111
10,150,"(1, 0, 0, 0, 1)",149
10,150,"(0, 0, 0, 1, 0)",190
10,150,"(1, 0, 0, 1, 0)",194
10,150,"(1, 0, 0, 1, 1)",200
10,150,"(0, 0, 1, 1, 0)",189
10,150,"(0, 0, 1, 1, 1)",188
10,150,"(1, 0, 1, 1, 1)",193
10,150,"(1, 1, 0, 0, 1)",194
10,150,"(0, 1, 0, 1, 0)",194
10,150,"(1, 1, 0, 1, 0)",154
10,150,"(0, 1, 0, 1, 1)",199
10,150,"(1, 1, 0, 1, 1)",200
10,150,"(0, 1, 1, 1, 1)",193
10,150,"(1, 1, 1, 1, 1)",149
10,150,"(1, 0, 0, 0, 0)",148
10,150,"(1, 0, 1, 0, 0)",129
10,150,"(1, 0, 1, 0, 1)",149
10,150,"(1, 0, 1, 1, 0)",141
10,150,"(0, 1, 0, 0, 0)",152
10,150,"(0, 1, 0, 0, 1)",152
10,150,"(0, 1, 1, 0, 0)",134
10,150,"(0, 1, 1, 0, 1)",148
10,150,"(1, 1, 1, 0, 1)",154
10,150,"(0, 1, 1, 1, 0)",141
10,150,"(0, 0, 0, 1, 1)",136
10,150,"(0, 0, 1, 0, 1)",80
10,150,"(1, 1, 0, 0, 0)",149
10,150,"(0, 0, 0, 0, 0)",83
10,150,"(0, 0, 0, 0, 1)",68
10,150,"(0, 0, 1, 0, 0)",82
10,150,"(1, 1, 1, 0, 0)",73
10,150,"(1, 1, 1, 1, 0)",68
10,200,"(1, 0, 0, 0, 0)",119
10,200,"(1, 0, 0, 0, 1)",116
10,200,"(0, 0, 0, 1, 0)",174
10,200,"(1, 0, 0, 1, 0)",183
10,200,"(1, 0, 0, 1, 1)",199
10,200,"(1, 0, 1, 0, 1)",116
10,200,"(0, 0, 1, 1, 0)",173
10,200,"(1, 0, 1, 1, 0)",108
10,200,"(0, 0, 1, 1, 1)",176
10,200,"(1, 0, 1, 1, 1)",180
10,200,"(0, 1, 0, 0, 0)",119
10,200,"(1, 1, 0, 0, 0)",123
10,200,"(0, 1, 0, 0, 1)",120
10,200,"(1, 1, 0, 0, 1)",179
10,200,"(0, 1, 0, 1, 0)",183
10,200,"(1, 1, 0, 1, 0)",120
10,200,"(0, 1, 0, 1, 1)",199
10,200,"(1, 1, 0, 1, 1)",200
10,200,"(0, 1, 1, 0, 1)",117
10,200,"(1, 1, 1, 0, 1)",115
10,200,"(0, 1, 1, 1, 0)",109
10,200,"(0, 1, 1, 1, 1)",180
10,200,"(1, 1, 1, 1, 1)",120
10,200,"(0, 0, 0, 1, 1)",106
10,200,"(1, 0, 1, 0, 0)",108
10,200,"(0, 1, 1, 0, 0)",105
10,200,"(0, 0, 0, 0, 0)",65
10,200,"(0, 0, 0, 0, 1)",56
10,200,"(0, 0, 1, 0, 0)",71
10,200,"(0, 0, 1, 0, 1)",65
10,200,"(1, 1, 1, 0, 0)",61
10,200,"(1, 1, 1, 1, 0)",57
10,250,"(0, 0, 0, 1, 0)",154
10,250,"(1, 0, 0, 1, 0)",173
10,250,"(1, 0, 0, 1, 1)",198
10,250,"(0, 0, 1, 1, 0)",170
10,250,"(0, 0, 1, 1, 1)",166
10,250,"(1, 0, 1, 1, 1)",173
10,250,"(1, 1, 0, 0, 0)",95
10,250,"(1, 1, 0, 0, 1)",171
10,250,"(0, 1, 0, 1, 0)",170
10,250,"(0, 1, 0, 1, 1)",198
10,250,"(1, 1, 0, 1, 1)",200
10,250,"(0, 1, 1, 1, 1)",174
10,250,"(0, 0, 0, 0, 0)",48
10,250,"(1, 0, 0, 0, 0)",96
10,250,"(0, 0, 0, 0, 1)",41
10,250,"(1, 0, 0, 0, 1)",89
10,250,"(0, 0, 0, 1, 1)",85
10,250,"(0, 0, 1, 0, 0)",45
10,250,"(1, 0, 1, 0, 0)",82
10,250,"(0, 0, 1, 0, 1)",47
10,250,"(1, 0, 1, 0, 1)",99
10,250,"(1, 0, 1, 1, 0)",85
10,250,"(0, 1, 0, 0, 0)",94
10,250,"(0, 1, 0, 0, 1)",88
10,250,"(1, 1, 0, 1, 0)",93
10,250,"(0, 1, 1, 0, 0)",81
10,250,"(1, 1, 1, 0, 0)",43
10,250,"(0, 1, 1, 0, 1)",100
10,250,"(1, 1, 1, 0, 1)",95
10,250,"(0, 1, 1, 1, 0)",82
10,250,"(1, 1, 1, 1, 0)",42
10,250,"(1, 1, 1, 1, 1)",95
10,300,"(1, 0, 0, 0, 0)",77
10,300,"(1, 0, 0, 0, 1)",75
10,300,"(0, 0, 0, 1, 0)",147
10,300,"(1, 0, 0, 1, 0)",154
10,300,"(1, 0, 0, 1, 1)",199
10,300,"(1, 0, 1, 0, 1)",78
10,300,"(0, 0, 1, 1, 0)",142
10,300,"(1, 0, 1, 1, 0)",67
10,300,"(0, 0, 1, 1, 1)",145
10,300,"(1, 0, 1, 1, 1)",152
10,300,"(0, 1, 0, 0, 0)",75
10,300,"(1, 1, 0, 0, 0)",77
10,300,"(1, 1, 0, 0, 1)",155
10,300,"(0, 1, 0, 1, 0)",156
10,300,"(0, 1, 0, 1, 1)",200
10,300,"(1, 1, 0, 1, 1)",200
10,300,"(0, 1, 1, 0, 0)",70
10,300,"(0, 1, 1, 0, 1)",81
10,300,"(1, 1, 1, 0, 1)",77
10,300,"(0, 1, 1, 1, 0)",72
10,300,"(0, 1, 1, 1, 1)",153
10,300,"(1, 1, 1, 1, 1)",78
10,300,"(0, 0, 0, 0, 0)",31
10,300,"(0, 0, 0, 0, 1)",24
10,300,"(0, 0, 0, 1, 1)",69
10,300,"(0, 0, 1, 0, 0)",30
10,300,"(1, 0, 1, 0, 0)",63
10,300,"(0, 0, 1, 0, 1)",28
10,300,"(0, 1, 0, 0, 1)",74
10,300,"(1, 1, 0, 1, 0)",76
10,300,"(1, 1, 1, 0, 0)",25
10,300,"(1, 1, 1, 1, 0)",28
10,350,"(1, 0, 0, 1, 0)",142
10,350,"(1, 0, 0, 1, 1)",198
10,350,"(0, 0, 1, 1, 0)",133
10,350,"(0, 0, 1, 1, 1)",127
10,350,"(1, 0, 1, 1, 1)",143
10,350,"(1, 1, 0, 0, 1)",144
10,350,"(0, 1, 0, 1, 0)",142
10,350,"(0, 1, 0, 1, 1)",199
10,350,"(1, 1, 0, 1, 1)",200
10,350,"(0, 1, 1, 1, 1)",144
10,350,"(0, 0, 0, 1, 0)",138
10,350,"(1, 0, 0, 0, 1)",64
10,350,"(1, 0, 1, 0, 1)",60
10,350,"(1, 0, 0, 0, 0)",62
10,350,"(0, 0, 0, 1, 1)",55
10,350,"(1, 0, 1, 0, 0)",54
10,350,"(1, 0, 1, 1, 0)",52
10,350,"(0, 1, 0, 0, 0)",63
10,350,"(1, 1, 0, 0, 0)",63
10,350,"(0, 1, 0, 0, 1)",61
10,350,"(1, 1, 0, 1, 0)",59
10,350,"(0, 1, 1, 0, 1)",59
10,350,"(1, 1, 1, 0, 1)",62
10,350,"(0, 1, 1, 1, 0)",51
10,350,"(1, 1, 1, 1, 1)",60
10,350,"(0, 1, 1, 0, 0)",49
10,350,"(0, 0, 0, 0, 0)",20
10,350,"(0, 0, 0, 0, 1)",17
10,350,"(0, 0, 1, 0, 0)",18
10,350,"(0, 0, 1, 0, 1)",18
10,350,"(1, 1, 1, 0, 0)",17
10,350,"(1, 1, 1, 1, 0)",16
10,400,"(0, 0, 0, 1, 0)",111
10,400,"(1, 0, 0, 1, 0)",116
10,400,"(1, 0, 0, 1, 1)",193
10,400,"(0, 1, 0, 1, 0)",124
10,400,"(0, 1, 0, 1, 1)",196
10,400,"(1, 1, 0, 1, 1)",200
10,400,"(0, 0, 1, 1, 1)",112
10,400,"(1, 0, 1, 1, 1)",125
10,400,"(1, 1, 0, 0, 1)",126
10,400,"(0, 1, 1, 1, 1)",128
10,400,"(1, 0, 0, 0, 1)",51
10,400,"(0, 0, 1, 1, 0)",115
10,400,"(0, 1, 0, 0, 0)",47
10,400,"(1, 1, 0, 0, 0)",50
10,400,"(1, 1, 0, 1, 0)",52
10,400,"(0, 1, 1, 0, 0)",38
10,400,"(0, 1, 1, 0, 1)",48
10,400,"(1, 1, 1, 1, 1)",49
10,400,"(1, 0, 0, 0, 0)",53
10,400,"(0, 0, 0, 1, 1)",40
10,400,"(1, 0, 1, 0, 0)",38
10,400,"(1, 0, 1, 0, 1)",44
10,400,"(1, 0, 1, 1, 0)",41
10,400,"(0, 1, 0, 0, 1)",50
10,400,"(1, 1, 1, 0, 1)",50
10,400,"(0, 1, 1, 1, 0)",44
10,400,"(0, 0, 0, 0, 0)",15
10,400,"(0, 0, 0, 0, 1)",9
10,400,"(0, 0, 1, 0, 0)",15
10,400,"(0, 0, 1, 0, 1)",13
10,400,"(1, 1, 1, 0, 0)",11
10,400,"(1, 1, 1, 1, 0)",12
10,450,"(1, 0, 0, 1, 0)",125
10,450,"(1, 0, 0, 1, 1)",194
10,450,"(0, 0, 1, 1, 0)",116
10,450,"(1, 0, 1, 1, 1)",126
10,450,"(1, 1, 0, 0, 1)",127
10,450,"(0, 1, 0, 1, 0)",129
10,450,"(0, 1, 0, 1, 1)",195
10,450,"(1, 1, 0, 1, 1)",200
10,450,"(0, 1, 1, 1, 1)",127
10,450,"(1, 0, 0, 0, 0)",50
10,450,"(1, 0, 0, 0, 1)",46
10,450,"(0, 0, 0, 1, 0)",110
10,450,"(0, 0, 0, 1, 1)",44
10,450,"(0, 0, 1, 0, 0)",11
10,450,"(1, 0, 1, 0, 0)",42
10,450,"(1, 0, 1, 0, 1)",54
10,450,"(1, 0, 1, 1, 0)",43
10,450,"(0, 0, 1, 1, 1)",114
10,450,"(0, 1, 0, 0, 0)",47
10,450,"(1, 1, 0, 0, 0)",50
10,450,"(0, 1, 0, 0, 1)",47
10,450,"(1, 1, 0, 1, 0)",51
10,450,"(0, 1, 1, 0, 0)",42
10,450,"(0, 1, 1, 0, 1)",46
10,450,"(1, 1, 1, 0, 1)",44
10,450,"(0, 1, 1, 1, 0)",43
10,450,"(1, 1, 1, 1, 1)",47
10,450,"(0, 0, 1, 0, 1)",12
10,450,"(0, 0, 0, 0, 0)",12
10,450,"(0, 0, 0, 0, 1)",8
10,450,"(1, 1, 1, 0, 0)",8
10,450,"(1, 1, 1, 1, 0)",7
10,500,"(1, 0, 0, 1, 0)",114
10,500,"(1, 0, 0, 1, 1)",188
10,500,"(0, 0, 1, 1, 0)",103
10,500,"(0, 0, 1, 1, 1)",104
10,500,"(1, 0, 1, 1, 1)",107
10,500,"(1, 1, 0, 0, 1)",119
10,500,"(0, 1, 0, 1, 0)",114
10,500,"(0, 1, 0, 1, 1)",192
10,500,"(1, 1, 0, 1, 1)",200
10,500,"(1, 0, 0, 0, 0)",41
10,500,"(1, 0, 0, 0, 1)",38
10,500,"(0, 0, 0, 1, 0)",108
10,500,"(0, 0, 0, 1, 1)",34
10,500,"(1, 0, 1, 0, 0)",32
10,500,"(1, 0, 1, 0, 1)",37
10,500,"(1, 0, 1, 1, 0)",35
10,500,"(0, 1, 0, 0, 0)",37
10,500,"(1, 1, 0, 0, 0)",37
10,500,"(0, 1, 0, 0, 1)",39
10,500,"(1, 1, 0, 1, 0)",40
10,500,"(0, 1, 1, 0, 0)",31
10,500,"(0, 1, 1, 0, 1)",40
10,500,"(1, 1, 1, 0, 1)",39
10,500,"(0, 1, 1, 1, 0)",37
10,500,"(0, 1, 1, 1, 1)",109
10,500,"(1, 1, 1, 1, 1)",38
10,500,"(0, 0, 0, 0, 0)",11
10,500,"(0, 0, 0, 0, 1)",11
10,500,"(0, 0, 1, 0, 0)",12
10,500,"(0, 0, 1, 0, 1)",11
10,500,"(1, 1, 1, 1, 0)",9
10,500,"(1, 1, 1, 0, 0)",8
