,m,eps,time,algo
0,56700,0.1,0.32689785957336426,ps
1,32600,0.1,0.09884810447692871,psp
2,24300,0.1,0.11844611167907715,ps
3,18900,0.1,0.06256914138793945,psp
4,56700,0.1,0.27454400062561035,ps
5,32000,0.1,0.09904599189758301,psp
6,121500,0.1,0.6416659355163574,ps
7,8100,0.1,0.024609088897705078,psp
8,251100,0.1,1.6365711688995361,ps
9,57800,0.1,0.1768629550933838,psp
10,8100,0.1,0.028552770614624023,ps
11,31300,0.1,0.09797406196594238,psp
12,56700,0.1,0.3457648754119873,ps
13,11600,0.1,0.05186939239501953,psp
14,251100,0.1,1.4105050563812256,ps
15,58500,0.1,0.1882641315460205,psp
16,510300,0.1,3.235032081604004,ps
17,20000,0.1,0.06623101234436035,psp
18,24300,0.1,0.10157489776611328,ps
19,33000,0.1,0.10975289344787598,psp
20,121500,0.1,0.6810011863708496,ps
21,56800,0.1,0.22533106803894043,psp
22,56700,0.1,0.4465029239654541,ps
23,8100,0.1,0.03600597381591797,psp
24,56700,0.1,0.38571715354919434,ps
25,8100,0.1,0.037162065505981445,psp
26,8100,0.1,0.04747509956359863,ps
27,11500,0.1,0.04857325553894043,psp
28,121500,0.1,0.9664571285247803,ps
29,60500,0.1,0.2922189235687256,psp
30,121500,0.1,0.7586090564727783,ps
31,33600,0.1,0.12630176544189453,psp
32,24300,0.1,0.12819695472717285,ps
33,111900,0.1,0.36864209175109863,psp
34,8100,0.1,0.033435821533203125,ps
35,11600,0.1,0.037760019302368164,psp
36,8100,0.1,0.031813859939575195,ps
37,11700,0.1,0.05467700958251953,psp
38,24300,0.1,0.15436887741088867,ps
39,22800,0.1,0.07973289489746094,psp
40,56700,0.1,0.2957580089569092,ps
41,12100,0.1,0.03876209259033203,psp
42,121500,0.1,0.867703914642334,ps
43,11600,0.1,0.05958724021911621,psp
44,24300,0.1,0.18933606147766113,ps
45,8100,0.1,0.041053056716918945,psp
46,121500,0.1,0.7529449462890625,ps
47,60900,0.1,0.1885979175567627,psp
48,56700,0.1,0.27833080291748047,ps
49,8100,0.1,0.029369115829467773,psp
50,121500,0.1,0.6835048198699951,ps
51,18600,0.1,0.07164120674133301,psp
52,8100,0.1,0.02792191505432129,ps
53,18200,0.1,0.05976414680480957,psp
54,56700,0.1,0.2713460922241211,ps
55,32200,0.1,0.11747407913208008,psp
56,121500,0.1,0.8757622241973877,ps
57,8100,0.1,0.02906203269958496,psp
58,121500,0.1,0.7195179462432861,ps
59,11700,0.1,0.04015088081359863,psp
60,56700,0.1,0.2815701961517334,ps
61,11700,0.1,0.03969311714172363,psp
62,121500,0.1,0.6410617828369141,ps
63,8100,0.1,0.02731180191040039,psp
64,8100,0.1,0.029764890670776367,ps
65,11700,0.1,0.04309988021850586,psp
66,121500,0.1,0.7678730487823486,ps
67,8100,0.1,0.02749490737915039,psp
68,121500,0.1,0.7338812351226807,ps
69,8100,0.1,0.03263115882873535,psp
70,251100,0.1,1.4581079483032227,ps
71,11600,0.1,0.03851819038391113,psp
72,56700,0.1,0.29351186752319336,ps
73,12200,0.1,0.05106401443481445,psp
74,24300,0.1,0.22280001640319824,ps
75,31900,0.1,0.14422202110290527,psp
76,24300,0.1,0.10121798515319824,ps
77,18100,0.1,0.055967092514038086,psp
78,56700,0.1,0.28041815757751465,ps
79,11600,0.1,0.03503823280334473,psp
80,8100,0.1,0.030475616455078125,ps
81,18600,0.1,0.0599367618560791,psp
82,251100,0.1,1.3722429275512695,ps
83,8100,0.1,0.02731609344482422,psp
84,251100,0.1,1.366487979888916,ps
85,20700,0.1,0.06766915321350098,psp
86,24300,0.1,0.10550999641418457,ps
87,8100,0.1,0.024662017822265625,psp
88,121500,0.1,0.6141831874847412,ps
89,39800,0.1,0.1213078498840332,psp
90,56700,0.1,0.2733161449432373,ps
91,61200,0.1,0.18686890602111816,psp
92,24300,0.1,0.10622119903564453,ps
93,11500,0.1,0.039674997329711914,psp
94,8100,0.1,0.02717900276184082,ps
95,8100,0.1,0.03727102279663086,psp
96,24300,0.1,0.1069331169128418,ps
97,12200,0.1,0.03774118423461914,psp
98,56700,0.1,0.27436208724975586,ps
99,18300,0.1,0.06333732604980469,psp
100,8100,0.1,0.029592037200927734,ps
101,8100,0.1,0.024589061737060547,psp
102,56700,0.1,0.2774631977081299,ps
103,62600,0.1,0.1862180233001709,psp
104,8100,0.1,0.028508901596069336,ps
105,31900,0.1,0.09558391571044922,psp
106,121500,0.1,0.6450150012969971,ps
107,35100,0.1,0.11102795600891113,psp
108,8100,0.1,0.03015875816345215,ps
109,61300,0.1,0.19722700119018555,psp
110,56700,0.1,0.30303525924682617,ps
111,8100,0.1,0.03230476379394531,psp
112,8100,0.1,0.02844691276550293,ps
113,31900,0.1,0.09480667114257812,psp
114,56700,0.1,0.2800719738006592,ps
115,8100,0.1,0.023883819580078125,psp
116,56700,0.1,0.2793259620666504,ps
117,62800,0.1,0.2285327911376953,psp
118,56700,0.1,0.2928440570831299,ps
119,18300,0.1,0.06015896797180176,psp
120,56700,0.1,0.3005979061126709,ps
121,35800,0.1,0.1160740852355957,psp
122,24300,0.1,0.10385298728942871,ps
123,8100,0.1,0.02747631072998047,psp
124,24300,0.1,0.1119382381439209,ps
125,115400,0.1,0.34711122512817383,psp
126,251100,0.1,1.377790927886963,ps
127,12200,0.1,0.03663492202758789,psp
128,121500,0.1,0.6217260360717773,ps
129,32100,0.1,0.10222887992858887,psp
130,121500,0.1,0.6413109302520752,ps
131,18200,0.1,0.055433034896850586,psp
132,8100,0.1,0.030349254608154297,ps
133,31500,0.1,0.10617876052856445,psp
134,121500,0.1,0.6550490856170654,ps
135,8100,0.1,0.029538869857788086,psp
136,251100,0.1,1.3662879467010498,ps
137,32600,0.1,0.09594202041625977,psp
138,24300,0.1,0.1047067642211914,ps
139,8100,0.1,0.024071931838989258,psp
140,121500,0.1,0.6205682754516602,ps
141,11700,0.1,0.040923118591308594,psp
142,121500,0.1,0.6347079277038574,ps
143,18900,0.1,0.05922198295593262,psp
144,121500,0.1,0.6285128593444824,ps
145,20400,0.1,0.06455612182617188,psp
146,24300,0.1,0.1114349365234375,ps
147,8100,0.1,0.028666019439697266,psp
148,251100,0.1,1.3643629550933838,ps
149,18300,0.1,0.057787179946899414,psp
150,121500,0.1,0.6484370231628418,ps
151,36600,0.1,0.11456608772277832,psp
152,24300,0.1,0.10914111137390137,ps
153,35100,0.1,0.11427998542785645,psp
154,251100,0.1,1.3650801181793213,ps
155,11500,0.1,0.036279916763305664,psp
156,8100,0.1,0.028838157653808594,ps
157,8100,0.1,0.026250839233398438,psp
158,121500,0.1,0.6196310520172119,ps
159,18700,0.1,0.06001710891723633,psp
160,56700,0.1,0.280836820602417,ps
161,8100,0.1,0.025734901428222656,psp
162,24300,0.1,0.10382890701293945,ps
