,m,eps,time,algo
0,27000,0.1,0.14563393592834473,ps
1,4500,0.1,0.01313018798828125,psp
2,5400,0.1,0.025331974029541016,ps
3,4400,0.1,0.021133899688720703,psp
4,27000,0.1,0.17053890228271484,ps
5,4200,0.1,0.014521121978759766,psp
6,55800,0.1,0.33248305320739746,ps
7,7500,0.1,0.03072500228881836,psp
8,27000,0.1,0.17442584037780762,ps
9,26900,0.1,0.10097980499267578,psp
10,27000,0.1,0.17003893852233887,ps
11,4300,0.1,0.016828060150146484,psp
12,27000,0.1,0.15641021728515625,ps
13,7400,0.1,0.02331709861755371,psp
14,27000,0.1,0.1354382038116455,ps
15,13900,0.1,0.041239023208618164,psp
16,55800,0.1,0.29487061500549316,ps
17,52200,0.1,0.16452884674072266,psp
18,55800,0.1,0.29264307022094727,ps
19,4300,0.1,0.012438058853149414,psp
20,27000,0.1,0.15380311012268066,ps
21,7600,0.1,0.021443843841552734,psp
22,55800,0.1,0.2926199436187744,ps
23,4800,0.1,0.013836860656738281,psp
24,55800,0.1,0.299105167388916,ps
25,1800,0.1,0.005333900451660156,psp
26,113400,0.1,0.6137380599975586,ps
27,4500,0.1,0.014221906661987305,psp
28,55800,0.1,0.3007998466491699,ps
29,4600,0.1,0.01479482650756836,psp
30,228600,0.1,1.3226020336151123,ps
31,4500,0.1,0.016638994216918945,psp
32,27000,0.1,0.15593218803405762,ps
33,4500,0.1,0.014906167984008789,psp
34,27000,0.1,0.15283679962158203,ps
35,4200,0.1,0.01509714126586914,psp
36,12600,0.1,0.06235480308532715,ps
37,4300,0.1,0.01505422592163086,psp
38,27000,0.1,0.14823412895202637,ps
39,14400,0.1,0.04206585884094238,psp
40,55800,0.1,0.3064908981323242,ps
41,15500,0.1,0.04697871208190918,psp
42,27000,0.1,0.14051008224487305,ps
43,7600,0.1,0.022485017776489258,psp
44,12600,0.1,0.061331987380981445,ps
45,7600,0.1,0.0221710205078125,psp
46,5400,0.1,0.022337913513183594,ps
47,52500,0.1,0.1642444133758545,psp
48,5400,0.1,0.021756887435913086,ps
49,14000,0.1,0.05344820022583008,psp
50,55800,0.1,0.3035259246826172,ps
51,26800,0.1,0.08182716369628906,psp
52,5400,0.1,0.020013093948364258,ps
53,14500,0.1,0.050839900970458984,psp
54,55800,0.1,0.2939109802246094,ps
55,13900,0.1,0.039663076400756836,psp
56,55800,0.1,0.2935349941253662,ps
57,8200,0.1,0.02519702911376953,psp
58,27000,0.1,0.1441969871520996,ps
59,4300,0.1,0.014142990112304688,psp
60,5400,0.1,0.020457983016967773,ps
61,13800,0.1,0.06886410713195801,psp
62,12600,0.1,0.07570528984069824,ps
63,4600,0.1,0.01494908332824707,psp
64,55800,0.1,0.2958090305328369,ps
65,4900,0.1,0.014316082000732422,psp
66,12600,0.1,0.06499099731445312,ps
67,4900,0.1,0.014410018920898438,psp
68,27000,0.1,0.13796186447143555,ps
69,4200,0.1,0.013317108154296875,psp
