,m,eps,time,algo,type
2410,394800,0.04,3.2421178817749023,psp,rademacher
2411,19200,0.04,0.16482782363891602,psp,hoeffding
2412,2438400,0.04,37.909040212631226,ps,rademacher
2413,19200,0.04,0.16686487197875977,ps,hoeffding
2414,400500,0.04,3.267075777053833,psp,rademacher
2415,19200,0.04,0.16235709190368652,psp,hoeffding
2416,595200,0.04,8.877006769180298,ps,rademacher
2417,19200,0.04,0.1600792407989502,ps,hoeffding
2418,1456500,0.04,11.721776962280273,psp,rademacher
2419,19200,0.04,0.15856194496154785,psp,hoeffding
2420,595200,0.04,9.103144884109497,ps,rademacher
2421,19200,0.04,0.16272687911987305,ps,hoeffding
2422,380400,0.04,3.126718044281006,psp,rademacher
2423,19200,0.04,0.15912508964538574,psp,hoeffding
2424,1209600,0.04,18.377134084701538,ps,rademacher
2425,19200,0.04,0.16712594032287598,ps,hoeffding
2426,116500,0.04,0.9658322334289551,psp,rademacher
2427,19200,0.04,0.1625528335571289,psp,hoeffding
2428,2438400,0.04,38.09171199798584,ps,rademacher
2429,19200,0.04,0.1581423282623291,ps,hoeffding
2430,389100,0.04,3.180589199066162,psp,rademacher
2431,19200,0.04,0.16762399673461914,psp,hoeffding
2432,595200,0.04,8.774880170822144,ps,rademacher
2433,19200,0.04,0.16731977462768555,ps,hoeffding
2434,756100,0.04,6.104919910430908,psp,rademacher
2435,19200,0.04,0.16018295288085938,psp,hoeffding
2436,288000,0.04,4.0701518058776855,ps,rademacher
2437,19200,0.04,0.15833401679992676,ps,hoeffding
2438,198700,0.04,1.6429979801177979,psp,rademacher
2439,19200,0.04,0.15406084060668945,psp,hoeffding
2440,2438400,0.04,37.93670201301575,ps,rademacher
2441,19200,0.04,0.167525053024292,ps,hoeffding
2442,398300,0.04,3.245353937149048,psp,rademacher
2443,19200,0.04,0.16898107528686523,psp,hoeffding
2444,595200,0.04,8.752023220062256,ps,rademacher
2445,19200,0.04,0.15845894813537598,ps,hoeffding
2446,109200,0.04,0.9135141372680664,psp,rademacher
2447,19200,0.04,0.164841890335083,psp,hoeffding
2448,1209600,0.04,18.43708300590515,ps,rademacher
2449,19200,0.04,0.15764403343200684,ps,hoeffding
2450,451400,0.04,3.670139789581299,psp,rademacher
2451,19200,0.04,0.14920878410339355,psp,hoeffding
2452,4896000,0.04,76.86500692367554,ps,rademacher
2453,19200,0.04,0.1663050651550293,ps,hoeffding
2454,785400,0.04,6.310931921005249,psp,rademacher
2455,19200,0.04,0.16376900672912598,psp,hoeffding
2456,2438400,0.04,37.79282903671265,ps,rademacher
2457,19200,0.04,0.1579439640045166,ps,hoeffding
2458,761000,0.04,6.266308069229126,psp,rademacher
2459,19200,0.04,0.16489696502685547,psp,hoeffding
2460,9811200,0.04,156.28453397750854,ps,rademacher
2461,19200,0.04,0.16174721717834473,ps,hoeffding
2462,410100,0.04,3.3151118755340576,psp,rademacher
2463,19200,0.04,0.15689897537231445,psp,hoeffding
2464,1209600,0.04,18.433329820632935,ps,rademacher
2465,19200,0.04,0.1733858585357666,ps,hoeffding
2466,781000,0.04,6.278003931045532,psp,rademacher
2467,19200,0.04,0.1565709114074707,psp,hoeffding
2468,1209600,0.04,18.41734004020691,ps,rademacher
2469,19200,0.04,0.16247892379760742,ps,hoeffding
2470,215700,0.04,1.7818708419799805,psp,rademacher
2471,19200,0.04,0.1601700782775879,psp,hoeffding
2472,4896000,0.04,77.13763189315796,ps,rademacher
2473,19200,0.04,0.17321395874023438,ps,hoeffding
2474,388500,0.04,3.2739357948303223,psp,rademacher
2475,19200,0.04,0.16700196266174316,psp,hoeffding
2476,288000,0.04,4.077635049819946,ps,rademacher
2477,19200,0.04,0.15569591522216797,ps,hoeffding
2478,223600,0.04,1.8422918319702148,psp,rademacher
2479,19200,0.04,0.16577482223510742,psp,hoeffding
2480,4896000,0.04,77.72875809669495,ps,rademacher
2481,19200,0.04,0.1574101448059082,ps,hoeffding
2482,213900,0.04,1.7634501457214355,psp,rademacher
2483,19200,0.04,0.17781710624694824,psp,hoeffding
2484,1209600,0.04,18.435487985610962,ps,rademacher
2485,19200,0.04,0.1582329273223877,ps,hoeffding
2486,398700,0.04,3.2348320484161377,psp,rademacher
2487,19200,0.04,0.16495680809020996,psp,hoeffding
2488,2438400,0.04,37.755805015563965,ps,rademacher
2489,19200,0.04,0.16453099250793457,ps,hoeffding
2490,376400,0.04,3.053499221801758,psp,rademacher
2491,19200,0.04,0.16483783721923828,psp,hoeffding
2492,1209600,0.04,18.564119815826416,ps,rademacher
2493,19200,0.04,0.15573811531066895,ps,hoeffding
2494,1472300,0.04,11.810157060623169,psp,rademacher
2495,19200,0.04,0.17852497100830078,psp,hoeffding
2496,595200,0.04,8.744783163070679,ps,rademacher
2497,19200,0.04,0.1546010971069336,ps,hoeffding
2498,1474500,0.04,11.973811388015747,psp,rademacher
2499,19200,0.04,0.16390585899353027,psp,hoeffding
2500,9811200,0.04,156.5001220703125,ps,rademacher
2501,19200,0.04,0.16484999656677246,ps,hoeffding
2502,388700,0.04,3.1999800205230713,psp,rademacher
2503,19200,0.04,0.17386293411254883,psp,hoeffding
2504,595200,0.04,8.86795687675476,ps,rademacher
2505,19200,0.04,0.1584780216217041,ps,hoeffding
2506,109500,0.04,0.917639970779419,psp,rademacher
2507,19200,0.04,0.15616989135742188,psp,hoeffding
2508,595200,0.04,8.84075379371643,ps,rademacher
2509,19200,0.04,0.16334795951843262,ps,hoeffding
2510,399400,0.04,3.329115152359009,psp,rademacher
2511,19200,0.04,0.15854692459106445,psp,hoeffding
2512,288000,0.04,4.0896360874176025,ps,rademacher
2513,19200,0.04,0.1676177978515625,ps,hoeffding
2514,771400,0.04,6.226147174835205,psp,rademacher
2515,19200,0.04,0.16181492805480957,psp,hoeffding
2516,288000,0.04,4.06936502456665,ps,rademacher
2517,19200,0.04,0.1567370891571045,ps,hoeffding
2518,1458700,0.04,11.818301916122437,psp,rademacher
2519,19200,0.04,0.15435385704040527,psp,hoeffding
2520,2438400,0.04,37.96703100204468,ps,rademacher
2521,19200,0.04,0.16318106651306152,ps,hoeffding
2522,405100,0.04,3.2769899368286133,psp,rademacher
2523,19200,0.04,0.1557619571685791,psp,hoeffding
2524,595200,0.04,8.882217168807983,ps,rademacher
2525,19200,0.04,0.15805411338806152,ps,hoeffding
2526,387100,0.04,3.169207811355591,psp,rademacher
2527,19200,0.04,0.1606440544128418,psp,hoeffding
2528,595200,0.04,8.79455304145813,ps,rademacher
2529,19200,0.04,0.16113018989562988,ps,hoeffding
2530,212900,0.04,1.7388079166412354,psp,rademacher
2531,19200,0.04,0.16410207748413086,psp,hoeffding
2532,2438400,0.04,37.93339490890503,ps,rademacher
2533,19200,0.04,0.14980506896972656,ps,hoeffding
2534,1467700,0.04,11.855078935623169,psp,rademacher
2535,19200,0.04,0.1578080654144287,psp,hoeffding
2536,1209600,0.04,18.506754159927368,ps,rademacher
2537,19200,0.04,0.15795207023620605,ps,hoeffding
2538,107200,0.04,0.8820309638977051,psp,rademacher
2539,19200,0.04,0.1632246971130371,psp,hoeffding
2540,595200,0.04,8.796206951141357,ps,rademacher
2541,19200,0.04,0.1616661548614502,ps,hoeffding
2542,751700,0.04,6.053828954696655,psp,rademacher
2543,19200,0.04,0.156019926071167,psp,hoeffding
2544,1209600,0.04,18.409539222717285,ps,rademacher
2545,19200,0.04,0.15909290313720703,ps,hoeffding
2546,224700,0.04,1.846235990524292,psp,rademacher
2547,19200,0.04,0.17026305198669434,psp,hoeffding
2548,1209600,0.04,18.360108852386475,ps,rademacher
2549,19200,0.04,0.16426324844360352,ps,hoeffding
2550,415300,0.04,3.3603508472442627,psp,rademacher
2551,19200,0.04,0.1621689796447754,psp,hoeffding
2552,595200,0.04,8.85553526878357,ps,rademacher
2553,19200,0.04,0.16947603225708008,ps,hoeffding
2554,214200,0.04,1.7250349521636963,psp,rademacher
2555,19200,0.04,0.1640338897705078,psp,hoeffding
2556,2438400,0.04,38.54644799232483,ps,rademacher
2557,19200,0.04,0.16309881210327148,ps,hoeffding
2558,117100,0.04,0.97340989112854,psp,rademacher
2559,19200,0.04,0.1668567657470703,psp,hoeffding
2560,2438400,0.04,38.10478496551514,ps,rademacher
2561,19200,0.04,0.16768813133239746,ps,hoeffding
2562,753800,0.04,6.137099981307983,psp,rademacher
2563,19200,0.04,0.18137764930725098,psp,hoeffding
2564,288000,0.04,4.066402912139893,ps,rademacher
2565,19200,0.04,0.1665971279144287,ps,hoeffding
2566,212000,0.04,1.7337868213653564,psp,rademacher
2567,19200,0.04,0.15692901611328125,psp,hoeffding
2568,2438400,0.04,38.03099203109741,ps,rademacher
2569,19200,0.04,0.16786718368530273,ps,hoeffding
2570,762000,0.04,6.159564733505249,psp,rademacher
2571,19200,0.04,0.1576979160308838,psp,hoeffding
2572,1209600,0.04,18.48295760154724,ps,rademacher
2573,19200,0.04,0.15619993209838867,ps,hoeffding
2574,207000,0.04,1.7067551612854004,psp,rademacher
2575,19200,0.04,0.16366219520568848,psp,hoeffding
2576,595200,0.04,8.797960758209229,ps,rademacher
2577,19200,0.04,0.16694307327270508,ps,hoeffding
2578,206200,0.04,1.7085669040679932,psp,rademacher
2579,19200,0.04,0.16509580612182617,psp,hoeffding
2580,1209600,0.04,18.480767965316772,ps,rademacher
2581,19200,0.04,0.15822315216064453,ps,hoeffding
2582,203900,0.04,1.6809971332550049,psp,rademacher
2583,19200,0.04,0.1514277458190918,psp,hoeffding
2584,2438400,0.04,37.81494617462158,ps,rademacher
2585,19200,0.04,0.15784096717834473,ps,hoeffding
2586,404100,0.04,3.273326873779297,psp,rademacher
2587,19200,0.04,0.1624140739440918,psp,hoeffding
2588,1209600,0.04,18.45586585998535,ps,rademacher
2589,19200,0.04,0.1638350486755371,ps,hoeffding
2590,753900,0.04,6.059581995010376,psp,rademacher
2591,19200,0.04,0.16617703437805176,psp,hoeffding
2592,595200,0.04,8.784693956375122,ps,rademacher
2593,19200,0.04,0.1574840545654297,ps,hoeffding
2594,800400,0.04,6.490480184555054,psp,rademacher
2595,19200,0.04,0.1667330265045166,psp,hoeffding
2596,2438400,0.04,37.95278882980347,ps,rademacher
2597,19200,0.04,0.1583409309387207,ps,hoeffding
2598,382000,0.04,3.1820621490478516,psp,rademacher
2599,19200,0.04,0.1639542579650879,psp,hoeffding
2600,1209600,0.04,18.45007824897766,ps,rademacher
2601,19200,0.04,0.15453386306762695,ps,hoeffding
2602,774700,0.04,6.247313976287842,psp,rademacher
2603,19200,0.04,0.15740418434143066,psp,hoeffding
2604,288000,0.04,4.055497884750366,ps,rademacher
2605,19200,0.04,0.15859317779541016,ps,hoeffding
2606,215300,0.04,1.7836480140686035,psp,rademacher
2607,19200,0.04,0.21088886260986328,psp,hoeffding
2608,1209600,0.04,18.743806838989258,ps,rademacher
2609,19200,0.04,0.16526079177856445,ps,hoeffding
2610,226700,0.04,1.860626220703125,psp,rademacher
2611,19200,0.04,0.17470598220825195,psp,hoeffding
2612,288000,0.04,4.099914073944092,ps,rademacher
2613,19200,0.04,0.16904306411743164,ps,hoeffding
2614,218800,0.04,1.8159008026123047,psp,rademacher
2615,19200,0.04,0.1461200714111328,psp,hoeffding
2616,4896000,0.04,87.97771120071411,ps,rademacher
2617,19200,0.04,0.21042704582214355,ps,hoeffding
2618,1456200,0.04,14.109464883804321,psp,rademacher
2619,19200,0.04,0.2506413459777832,psp,hoeffding
2620,1209600,0.04,20.616534948349,ps,rademacher
2621,19200,0.04,0.18039917945861816,ps,hoeffding
2622,417000,0.04,3.9864799976348877,psp,rademacher
2623,19200,0.04,0.16118621826171875,psp,hoeffding
2624,595200,0.04,8.832487106323242,ps,rademacher
2625,19200,0.04,0.16343903541564941,ps,hoeffding
2626,1505900,0.04,12.340733051300049,psp,rademacher
2627,19200,0.04,0.1569960117340088,psp,hoeffding
2628,4896000,0.04,77.63719201087952,ps,rademacher
2629,19200,0.04,0.14693307876586914,ps,hoeffding
2630,117500,0.04,0.9903769493103027,psp,rademacher
2631,19200,0.04,0.1521930694580078,psp,hoeffding
2632,1209600,0.04,18.9292311668396,ps,rademacher
2633,19200,0.04,0.1608140468597412,ps,hoeffding
2634,122900,0.04,1.0343670845031738,psp,rademacher
2635,19200,0.04,0.1589522361755371,psp,hoeffding
2636,595200,0.04,8.889337062835693,ps,rademacher
2637,19200,0.04,0.16698908805847168,ps,hoeffding
2638,740700,0.04,6.004108190536499,psp,rademacher
2639,19200,0.04,0.16366910934448242,psp,hoeffding
2640,595200,0.04,8.878230094909668,ps,rademacher
2641,19200,0.04,0.16987180709838867,ps,hoeffding
2642,736300,0.04,6.003660202026367,psp,rademacher
2643,19200,0.04,0.1950521469116211,psp,hoeffding
2644,4896000,0.04,78.06696391105652,ps,rademacher
2645,19200,0.04,0.16755199432373047,ps,hoeffding
2646,783300,0.04,6.370106935501099,psp,rademacher
2647,19200,0.04,0.16133809089660645,psp,hoeffding
2648,1209600,0.04,18.543307065963745,ps,rademacher
2649,19200,0.04,0.1614060401916504,ps,hoeffding
2650,107600,0.04,0.9081940650939941,psp,rademacher
2651,19200,0.04,0.16669297218322754,psp,hoeffding
2652,1209600,0.04,18.683697938919067,ps,rademacher
2653,19200,0.04,0.1640639305114746,ps,hoeffding
2654,769900,0.04,6.226794004440308,psp,rademacher
2655,19200,0.04,0.16361188888549805,psp,hoeffding
2656,595200,0.04,8.849354028701782,ps,rademacher
2657,19200,0.04,0.1537940502166748,ps,hoeffding
2658,383500,0.04,3.136276960372925,psp,rademacher
2659,19200,0.04,0.15944910049438477,psp,hoeffding
2660,1209600,0.04,18.647644758224487,ps,rademacher
2661,19200,0.04,0.16247105598449707,ps,hoeffding
2662,217100,0.04,1.7930431365966797,psp,rademacher
2663,19200,0.04,0.15654969215393066,psp,hoeffding
2664,595200,0.04,8.846251964569092,ps,rademacher
2665,19200,0.04,0.16371512413024902,ps,hoeffding
2666,207700,0.04,1.738757848739624,psp,rademacher
2667,19200,0.04,0.16226696968078613,psp,hoeffding
2668,2438400,0.04,38.607176065444946,ps,rademacher
2669,19200,0.04,0.1611037254333496,ps,hoeffding
2670,392500,0.04,3.2198169231414795,psp,rademacher
2671,19200,0.04,0.15945124626159668,psp,hoeffding
2672,2438400,0.04,38.306204080581665,ps,rademacher
2673,19200,0.04,0.16078877449035645,ps,hoeffding
2674,129300,0.04,1.0841050148010254,psp,rademacher
2675,19200,0.04,0.16347694396972656,psp,hoeffding
2676,1209600,0.04,18.85593032836914,ps,rademacher
2677,19200,0.04,0.18100309371948242,ps,hoeffding
2678,740300,0.04,6.065515041351318,psp,rademacher
2679,19200,0.04,0.16268587112426758,psp,hoeffding
2680,1209600,0.04,18.461400747299194,ps,rademacher
2681,19200,0.04,0.16373896598815918,ps,hoeffding
2682,19200,0.04,0.16458487510681152,psp,hoeffding
2683,1209600,0.04,18.533101081848145,ps,rademacher
2684,19200,0.04,0.15670323371887207,ps,hoeffding
2685,207900,0.04,1.7160670757293701,psp,rademacher
2686,19200,0.04,0.15830111503601074,psp,hoeffding
2687,288000,0.04,4.053884983062744,ps,rademacher
2688,19200,0.04,0.15848302841186523,ps,hoeffding
2689,391500,0.04,3.191135883331299,psp,rademacher
2690,19200,0.04,0.1568140983581543,psp,hoeffding
2691,1209600,0.04,18.645119190216064,ps,rademacher
2692,19200,0.04,0.16793608665466309,ps,hoeffding
2693,420700,0.04,3.4330248832702637,psp,rademacher
2694,19200,0.04,0.16750812530517578,psp,hoeffding
2695,1209600,0.04,18.750898838043213,ps,rademacher
2696,19200,0.04,0.16957688331604004,ps,hoeffding
2697,390100,0.04,3.1713600158691406,psp,rademacher
2698,19200,0.04,0.17256712913513184,psp,hoeffding
2699,2438400,0.04,38.48479771614075,ps,rademacher
2700,19200,0.04,0.16463494300842285,ps,hoeffding
2701,203300,0.04,1.689683198928833,psp,rademacher
2702,19200,0.04,0.1694800853729248,psp,hoeffding
2703,1209600,0.04,18.723258018493652,ps,rademacher
