,m,eps,time,algo
0,19200,0.1,0.08109688758850098,ps
1,29500,0.1,0.08529090881347656,psp
2,198400,0.1,1.0331220626831055,ps
3,64400,0.1,0.18167901039123535,psp
4,19200,0.1,0.08093118667602539,ps
5,6400,0.1,0.019121170043945312,psp
6,96000,0.1,0.4924333095550537,ps
7,108700,0.1,0.3047831058502197,psp
8,96000,0.1,0.4718039035797119,ps
9,33700,0.1,0.09815764427185059,psp
10,19200,0.1,0.08476018905639648,ps
11,6400,0.1,0.018822908401489258,psp
12,96000,0.1,0.4671049118041992,ps
13,31900,0.1,0.13759326934814453,psp
14,198400,0.1,1.218761920928955,ps
15,114100,0.1,0.37877392768859863,psp
16,96000,0.1,0.5332520008087158,ps
17,33700,0.1,0.12505006790161133,psp
18,19200,0.1,0.11190986633300781,ps
19,119900,0.1,0.4691741466522217,psp
20,19200,0.1,0.11812400817871094,ps
21,125100,0.1,0.6161761283874512,psp
22,96000,0.1,0.5162990093231201,ps
23,29500,0.1,0.0877997875213623,psp
24,198400,0.1,0.9921829700469971,ps
25,32400,0.1,0.09507393836975098,psp
26,198400,0.1,1.0195121765136719,ps
27,116600,0.1,0.32697081565856934,psp
28,96000,0.1,0.463209867477417,ps
29,112300,0.1,0.33188772201538086,psp
30,96000,0.1,0.47399091720581055,ps
31,30700,0.1,0.09002804756164551,psp
32,198400,0.1,1.004497766494751,ps
33,62100,0.1,0.18353009223937988,psp
34,198400,0.1,1.0083799362182617,ps
35,66100,0.1,0.19040417671203613,psp
36,96000,0.1,0.4663200378417969,ps
37,220500,0.1,0.6410698890686035,psp
38,96000,0.1,0.4622609615325928,ps
39,115300,0.1,0.33840203285217285,psp
40,403200,0.1,2.1192567348480225,ps
41,119700,0.1,0.33503103256225586,psp
42,44800,0.1,0.20839571952819824,ps
43,113200,0.1,0.3478672504425049,psp
44,403200,0.1,2.221924066543579,ps
45,113300,0.1,0.31611204147338867,psp
46,44800,0.1,0.21132183074951172,ps
47,60900,0.1,0.1715238094329834,psp
48,19200,0.1,0.09126901626586914,ps
49,121500,0.1,0.3398258686065674,psp
50,96000,0.1,0.47176504135131836,ps
51,228800,0.1,0.6477189064025879,psp
52,96000,0.1,0.47560596466064453,ps
53,216200,0.1,0.6064131259918213,psp
54,96000,0.1,0.47431421279907227,ps
55,31400,0.1,0.09272217750549316,psp
56,198400,0.1,1.0622961521148682,ps
57,30500,0.1,0.08912086486816406,psp
58,19200,0.1,0.08635067939758301,ps
59,116100,0.1,0.32778215408325195,psp
60,96000,0.1,0.4733912944793701,ps
61,220400,0.1,0.6413891315460205,psp
62,44800,0.1,0.20745325088500977,ps
63,57400,0.1,0.16254901885986328,psp
64,198400,0.1,1.0202600955963135,ps
65,55900,0.1,0.16045618057250977,psp
66,198400,0.1,1.0115809440612793,ps
67,66900,0.1,0.19401192665100098,psp
68,403200,0.1,2.159296989440918,ps
69,60400,0.1,0.17900490760803223,psp
70,96000,0.1,0.47077012062072754,ps
71,58900,0.1,0.16418099403381348,psp
72,403200,0.1,2.1495258808135986,ps
73,61000,0.1,0.17798900604248047,psp
74,198400,0.1,1.0074172019958496,ps
75,20800,0.1,0.06073904037475586,psp
76,44800,0.1,0.20504379272460938,ps
77,114600,0.1,0.32176804542541504,psp
78,19200,0.1,0.08341598510742188,ps
79,221500,0.1,0.634552001953125,psp
80,96000,0.1,0.46227002143859863,ps
81,32400,0.1,0.0917508602142334,psp
82,198400,0.1,1.0024299621582031,ps
83,132600,0.1,0.3711578845977783,psp
84,19200,0.1,0.0818629264831543,ps
85,229900,0.1,0.641423225402832,psp
86,198400,0.1,1.0057849884033203,ps
87,59200,0.1,0.16682219505310059,psp
88,44800,0.1,0.20021486282348633,ps
89,223700,0.1,0.641157865524292,psp
90,96000,0.1,0.4592461585998535,ps
91,35100,0.1,0.10049819946289062,psp
92,403200,0.1,2.103687047958374,ps
93,58900,0.1,0.16997289657592773,psp
94,96000,0.1,0.46395182609558105,ps
95,16300,0.1,0.04774975776672363,psp
96,44800,0.1,0.20874786376953125,ps
97,117300,0.1,0.33434319496154785,psp
98,96000,0.1,0.46619439125061035,ps
99,445300,0.1,1.2598159313201904,psp
100,96000,0.1,0.4730560779571533,ps
101,228000,0.1,0.6271548271179199,psp
102,44800,0.1,0.20640993118286133,ps
103,230700,0.1,0.6426501274108887,psp
104,198400,0.1,1.0274720191955566,ps
105,35400,0.1,0.10235190391540527,psp
106,96000,0.1,0.46230387687683105,ps
107,430000,0.1,1.1979382038116455,psp
108,44800,0.1,0.20359396934509277,ps
109,57700,0.1,0.16605424880981445,psp
110,19200,0.1,0.08576726913452148,ps
111,31300,0.1,0.09272003173828125,psp
112,96000,0.1,0.46121692657470703,ps
113,19200,0.1,0.05820894241333008,psp
114,96000,0.1,0.4917330741882324,ps
115,57300,0.1,0.16056299209594727,psp
116,19200,0.1,0.0799720287322998,ps
117,441300,0.1,1.2329881191253662,psp
118,96000,0.1,0.5607848167419434,ps
119,61000,0.1,0.17552900314331055,psp
120,198400,0.1,1.0536468029022217,ps
121,33700,0.1,0.09914708137512207,psp
122,198400,0.1,1.0071418285369873,ps
123,55900,0.1,0.16173386573791504,psp
124,96000,0.1,0.4676940441131592,ps
125,113900,0.1,0.316699743270874,psp
126,44800,0.1,0.21509814262390137,ps
127,116200,0.1,0.3428521156311035,psp
128,44800,0.1,0.20693087577819824,ps
129,119400,0.1,0.3541831970214844,psp
130,44800,0.1,0.3785738945007324,ps
131,60900,0.1,0.2521698474884033,psp
132,96000,0.1,0.6252350807189941,ps
133,122000,0.1,0.5006611347198486,psp
134,44800,0.1,0.2056717872619629,ps
135,33000,0.1,0.09740996360778809,psp
136,198400,0.1,1.2528979778289795,ps
137,36000,0.1,0.10764503479003906,psp
138,198400,0.1,1.0200791358947754,ps
139,18100,0.1,0.05329394340515137,psp
140,44800,0.1,0.20447516441345215,ps
141,58500,0.1,0.1639859676361084,psp
142,19200,0.1,0.08664703369140625,ps
143,58300,0.1,0.1665041446685791,psp
144,44800,0.1,0.2114579677581787,ps
145,38200,0.1,0.11304187774658203,psp
146,198400,0.1,1.0108511447906494,ps
147,31400,0.1,0.09133625030517578,psp
148,44800,0.1,0.20474505424499512,ps
149,225700,0.1,0.6383969783782959,psp
150,198400,0.1,1.0005881786346436,ps
151,223400,0.1,0.6307570934295654,psp
152,403200,0.1,2.110502004623413,ps
153,115800,0.1,0.34441709518432617,psp
154,19200,0.1,0.08563899993896484,ps
155,120200,0.1,0.34782981872558594,psp
156,19200,0.1,0.07808494567871094,ps
157,31700,0.1,0.09024310111999512,psp
158,19200,0.1,0.08700013160705566,ps
159,33000,0.1,0.09418010711669922,psp
160,198400,0.1,1.0014750957489014,ps
161,16300,0.1,0.04761910438537598,psp
162,403200,0.1,2.087467908859253,ps
163,110500,0.1,0.30762600898742676,psp
164,403200,0.1,2.1224958896636963,ps
165,61900,0.1,0.17291879653930664,psp
166,19200,0.1,0.08042716979980469,ps
167,60600,0.1,0.1739499568939209,psp
168,198400,0.1,1.0080158710479736,ps
169,109300,0.1,0.3147451877593994,psp
170,96000,0.1,0.4698648452758789,ps
171,118100,0.1,0.3396308422088623,psp
172,198400,0.1,1.0135328769683838,ps
173,235800,0.1,0.658318042755127,psp
174,96000,0.1,0.47106504440307617,ps
175,117100,0.1,0.32831406593322754,psp
176,19200,0.1,0.08365988731384277,ps
177,219100,0.1,0.6243510246276855,psp
178,198400,0.1,1.0230951309204102,ps
179,214900,0.1,0.6171119213104248,psp
180,198400,0.1,1.0500109195709229,ps
181,67000,0.1,0.18942523002624512,psp
182,198400,0.1,1.0575532913208008,ps
183,6400,0.1,0.019212007522583008,psp
184,96000,0.1,0.4750339984893799,ps
185,448400,0.1,1.3069267272949219,psp
186,19200,0.1,0.08262085914611816,ps
187,60800,0.1,0.17178797721862793,psp
188,198400,0.1,1.0326828956604004,ps
189,221800,0.1,0.646467924118042,psp
190,403200,0.1,2.1065521240234375,ps
191,239400,0.1,0.6891660690307617,psp
192,96000,0.1,0.5617280006408691,ps
193,33400,0.1,0.1038217544555664,psp
194,44800,0.1,0.24440598487854004,ps
195,58900,0.1,0.18820500373840332,psp
196,19200,0.1,0.08840513229370117,ps
197,459400,0.1,1.3648579120635986,psp
198,96000,0.1,0.4743208885192871,ps
199,29500,0.1,0.08440709114074707,psp
200,198400,0.09,1.0370450019836426,ps
201,222400,0.09,0.631432056427002,psp
202,96000,0.09,0.47414612770080566,ps
203,110300,0.09,0.31382226943969727,psp
204,19200,0.09,0.08422613143920898,ps
205,121200,0.09,0.3453948497772217,psp
206,96000,0.09,0.4632699489593506,ps
207,70700,0.09,0.20780301094055176,psp
208,198400,0.09,1.0097460746765137,ps
209,114700,0.09,0.32632994651794434,psp
210,198400,0.09,1.0017130374908447,ps
211,425500,0.09,1.1927459239959717,psp
212,198400,0.09,1.0455448627471924,ps
213,34100,0.09,0.09762310981750488,psp
214,96000,0.09,0.46285390853881836,ps
